family,method,outcome,n_cells,pearson_r,spearman_rho,mean_absolute_error,median_absolute_error,signed_bias_subset_minus_full,max_absolute_error
bxaic,gradinput,risk,42,0.6168101958994768,0.2869014849486911,0.01962052859445141,0.011167131115472725,-0.015781506794922722,0.05087029072101918
bxaic,gradinput,atom_fraction,42,0.9999099514306679,0.958720043775939,0.0053819360439245215,0.003745667245311668,0.004613686048946262,0.017759571102414995
bxaic,gradinput,precision,42,0.9850594287154069,0.9927508225637987,0.03317122421755209,0.009940086981864604,-0.030184666662756248,0.15120689655172403
bxaic,gradinput,iou,42,0.9897692301456356,0.9863557209267584,0.022541198615512476,0.006948350895535943,-0.016845534085214248,0.10347140206894956
bxaic,gradinput,selected_grid_fraction,42,0.9999108097154095,0.9954941028569663,0.005238095238095238,0.0050000000000000044,0.004761904761904755,0.019999999999999907
bxaic,ig,risk,42,0.6839967572013848,0.3425845356239392,0.020063271211862247,0.01324943481498183,-0.018960291680187147,0.05087029072101918
bxaic,ig,atom_fraction,42,0.9992413129671565,0.9613670813482345,0.011739555549319495,0.008734787694466745,0.011566361145712526,0.09728556549497314
bxaic,ig,precision,42,0.983842488481516,0.9971438377846178,0.03652896068881056,0.022960444133570984,-0.034855544576181174,0.15120689655172403
bxaic,ig,iou,42,0.9892306130472099,0.9971438377846178,0.02331788594457116,0.006768892139430216,-0.019832911349183278,0.10347140206894956
bxaic,ig,selected_grid_fraction,42,0.9992329082585082,0.9976266770934504,0.011904761904761899,0.009999999999999998,0.011904761904761899,0.09999999999999998
google,gradinput,risk,24,0.6706839315040887,0.5295652173913042,0.01097242155505221,0.002902412319823071,-0.006257749951547448,0.07296088747477639
google,gradinput,atom_fraction,24,0.9979599414695263,0.981486097214335,0.005628224758048725,0.00047034382588956314,0.003021443942296191,0.0340354491077991
google,gradinput,precision,24,0.9992342523081357,0.997391304347826,0.0041291678719143,0.0028894215497009823,-0.00018937820150713783,0.02135139035139022
google,gradinput,iou,24,0.9990306945899962,0.9939130434782607,0.00434683712248731,0.0033084600134704045,0.0012347141070593256,0.018434887779572917
google,gradinput,selected_grid_fraction,24,0.9987242189242226,0.98903518284811,0.0045833333333333325,0.0,0.002083333333333321,0.020000000000000018
google,ig,risk,24,0.8597024897442695,0.8182608695652173,0.006787576206243192,0.0021236863052339072,-0.004951918300019405,0.03289153637764748
google,ig,atom_fraction,24,0.9977951184416618,0.9958668932601793,0.005752854555997705,0.0005830760647540512,0.0052389638510622226,0.03418010897667001
google,ig,precision,24,0.9993560380095959,0.9982608695652172,0.004059250505168678,0.0026786265504878948,-0.0016920187519371202,0.01703216664327767
google,ig,iou,24,0.9990487434346053,0.997391304347826,0.0039864676800499465,0.002761248471400468,-0.0007802070275356327,0.020530123904478947
google,ig,selected_grid_fraction,24,0.99844452845069,0.9932436207276667,0.004583333333333339,0.0,0.004583333333333335,0.030000000000000027
