dataset,seed,method,proxy,n_calibration_pairs,n_calibration_components,max_pairs_per_calibration_component,minimum_components_alpha_0_10,component_crc_numerically_feasible,component_crc_fraction,component_calibration_empirical_risk,component_calibration_corrected_risk,pair_crc_descriptive_fraction,pair_calibration_empirical_risk,pair_calibration_corrected_risk,fallback_when_infeasible,guarantee
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,59,13,21,9,True,0.93,0.02846695273073719,0.0978621703928274,0.93,0.07226215899275668,0.08772445634287739,not_needed,none; clustered retrospective stress test
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,59,13,21,9,True,0.93,0.029356526830486056,0.09868820348545133,0.93,0.07577218300115399,0.09117597995113474,not_needed,none; clustered retrospective stress test
CHEMBL204_Ki,17,atom_occlusion,one_hop_expanded_symmetry_closed,59,13,21,9,True,0.9500000000000001,0.02819493436396949,0.09760958190940025,0.93,0.07985707330641637,0.09519278875130938,not_needed,none; clustered retrospective stress test
CHEMBL204_Ki,17,integrated_gradients,main_variable_plus_attachment_symmetry_closed,59,13,21,9,True,0.97,0.02946379945126813,0.09878781377617754,0.9400000000000001,0.0801598114443788,0.09549048125363917,not_needed,none; clustered retrospective stress test
CHEMBL204_Ki,17,integrated_gradients,variable_only_symmetry_closed,59,13,21,9,True,0.97,0.02938251243148101,0.0987123329720895,0.9400000000000001,0.08035875239749886,0.0956861065242072,not_needed,none; clustered retrospective stress test
CHEMBL204_Ki,17,integrated_gradients,one_hop_expanded_symmetry_closed,59,13,21,9,True,0.97,0.02688910703207956,0.0963970279583596,0.9400000000000001,0.08187021873117477,0.09717238175232182,not_needed,none; clustered retrospective stress test
CHEMBL204_Ki,29,atom_occlusion,main_variable_plus_attachment_symmetry_closed,59,13,21,9,True,0.98,0.02660597293694459,0.09613411772716283,0.91,0.07918254705944269,0.09452950460845196,not_needed,none; clustered retrospective stress test
CHEMBL204_Ki,29,atom_occlusion,variable_only_symmetry_closed,59,13,21,9,True,0.99,0.0,0.07142857142857142,0.91,0.08013439348866706,0.09546548693052258,not_needed,none; clustered retrospective stress test
CHEMBL204_Ki,29,atom_occlusion,one_hop_expanded_symmetry_closed,59,13,21,9,True,0.97,0.02839492828988628,0.09779529055489442,0.9,0.08215892845753264,0.09745627964990707,not_needed,none; clustered retrospective stress test
CHEMBL204_Ki,29,integrated_gradients,main_variable_plus_attachment_symmetry_closed,59,13,21,9,True,0.97,0.02091451105874183,0.09084918884026028,0.91,0.08236810543010364,0.09766197033960192,not_needed,none; clustered retrospective stress test
CHEMBL204_Ki,29,integrated_gradients,variable_only_symmetry_closed,59,13,21,9,True,0.96,0.028077183653624757,0.09750024196408012,0.91,0.08133927895786486,0.09665029097523378,not_needed,none; clustered retrospective stress test
