dataset,split,n_pairs,n_components,max_pairs_per_component,median_pairs_per_component,kish_effective_components,group_crc_minimum_components_alpha_0_10,group_crc_numerically_feasible_alpha_0_10
CHEMBL204_Ki,calibration,59,13,21,2.0,5.298325722983257,9,True
CHEMBL204_Ki,test,40,10,12,2.0,5.031446540880503,9,False
CHEMBL214_Ki,calibration,47,15,10,2.0,7.974729241877256,9,True
CHEMBL214_Ki,test,31,13,11,2.0,5.895705521472393,9,False
CHEMBL228_Ki,calibration,51,10,28,2.0,2.9590443686006824,9,True
CHEMBL228_Ki,test,34,9,9,3.0,5.8979591836734695,9,False
CHEMBL233_Ki,calibration,75,13,41,1.0,2.9809220985691574,9,True
CHEMBL233_Ki,test,52,21,11,2.0,10.991869918699187,9,False
CHEMBL234_Ki,calibration,64,7,57,1.0,1.2572130141190914,9,False
CHEMBL234_Ki,test,35,15,9,1.0,7.335329341317365,9,False
CHEMBL235_EC50,calibration,30,9,7,3.0,7.142857142857143,9,True
CHEMBL235_EC50,test,29,10,7,2.0,6.728,9,False
CHEMBL236_Ki,calibration,33,7,14,2.0,3.6421404682274248,9,False
CHEMBL236_Ki,test,32,14,7,1.5,8.982456140350877,9,False
CHEMBL237_Ki,calibration,37,12,17,1.0,4.0146627565982405,9,True
CHEMBL237_Ki,test,43,10,23,1.0,2.9395866454689985,9,False
CHEMBL244_Ki,calibration,81,5,65,3.0,1.5120995621110855,9,False
CHEMBL244_Ki,test,109,16,43,2.0,4.686785009861933,9,False
CHEMBL264_Ki,calibration,47,14,12,2.0,7.195439739413681,9,True
CHEMBL264_Ki,test,27,13,6,2.0,9.227848101265822,9,False
CHEMBL4792_Ki,calibration,35,3,29,3.0,1.4260768335273575,9,False
CHEMBL4792_Ki,test,44,7,24,3.0,2.813953488372093,9,False
