dataset,split,n_molecules,n_candidate_pairs,n_pairs,expected_scout_pairs,matches_scout_count,minimum_20_pass,candidate_not_cliff_activity,candidate_not_similar,mapped_candidate_pairs,ambiguous_pair_mapping_excluded
CHEMBL204_Ki,calibration,398,183,59,59,True,True,4361,4324,183,0.0
CHEMBL204_Ki,test,403,95,40,40,True,True,2771,509,95,0.0
CHEMBL214_Ki,calibration,610,124,47,47,True,True,5970,901,124,1.0
CHEMBL214_Ki,test,616,57,31,31,True,True,3765,550,57,0.0
CHEMBL228_Ki,calibration,410,132,51,52,False,True,2671,539,132,0.0
CHEMBL228_Ki,test,314,74,34,34,True,True,3892,349,74,0.0
CHEMBL233_Ki,calibration,657,261,75,75,True,True,6295,1721,261,0.0
CHEMBL233_Ki,test,615,116,52,52,True,True,3513,401,116,1.0
CHEMBL234_Ki,calibration,595,189,64,64,True,True,10693,2984,189,1.0
CHEMBL234_Ki,test,538,76,35,36,False,True,1978,618,76,0.0
CHEMBL235_EC50,calibration,335,103,30,30,True,True,2036,470,103,0.0
CHEMBL235_EC50,test,301,59,29,29,True,True,2417,327,59,0.0
CHEMBL236_Ki,calibration,510,114,33,34,False,True,6656,1138,114,3.0
CHEMBL236_Ki,test,510,73,32,32,True,True,4643,494,73,0.0
CHEMBL237_Ki,calibration,454,79,37,41,False,True,3125,417,79,7.0
CHEMBL237_Ki,test,663,97,43,44,False,True,6738,1352,97,1.0
CHEMBL244_Ki,calibration,566,252,81,81,True,True,6758,4083,252,0.0
CHEMBL244_Ki,test,626,403,109,110,False,True,10135,4736,403,1.0
CHEMBL264_Ki,calibration,471,82,47,47,True,True,6603,1386,82,0.0
CHEMBL264_Ki,test,491,41,27,28,False,True,2984,307,41,1.0
CHEMBL4792_Ki,calibration,314,66,35,35,True,True,3169,674,66,0.0
CHEMBL4792_Ki,test,325,177,44,43,False,True,9212,2383,177,0.0
