dataset,seed,best_epoch,development_rmse,development_spearman,n_development,calibration_rmse,calibration_spearman,n_calibration,test_rmse,test_spearman,n_test,test_pair_direction_accuracy,n_test_pairs
CHEMBL204_Ki,17,43,1.191527314269107,0.40766527434211364,391,1.1975041811480942,0.675541844471803,398,1.1542840261256782,0.42651201769520714,403,0.275,40
CHEMBL204_Ki,29,7,1.3941859207231542,0.5062938681770086,391,1.3645859476567428,0.5672495243528817,398,1.2789808394775222,0.24292140331776624,403,0.225,40
CHEMBL204_Ki,43,9,1.2022625643727136,0.39036014770655736,391,1.3368098035782983,0.6310780166429885,398,1.160965072757205,0.44194417557292265,403,0.325,40
CHEMBL214_Ki,17,1,1.1832743284633567,0.23314575550462033,216,1.1377098365085578,0.24523708866822813,610,1.229456248905729,0.2582053526316322,616,0.6129032258064516,31
CHEMBL214_Ki,29,9,1.1821076169905924,0.0003914690120275455,216,1.1456411935764075,0.15189389738935236,610,1.2292797760306533,0.24391374599023366,616,0.5483870967741935,31
CHEMBL214_Ki,43,11,1.1679139596924093,0.09785454589873203,216,1.120040603331502,0.15535861595601935,610,1.1629500565458382,0.2648381273577415,616,0.4838709677419355,31
CHEMBL228_Ki,17,2,1.0963867613212408,-0.023394693389290695,196,1.3474797403360241,-0.14586109289167318,410,1.2459639011694368,0.013237424573008864,314,0.5588235294117647,34
CHEMBL228_Ki,29,21,0.9008734771191738,0.4394016549619776,196,1.438893679679188,-0.07141918476771181,410,1.3630413153804728,-0.0012341649734702391,314,0.6176470588235294,34
CHEMBL228_Ki,43,38,1.1487575094364808,0.40250546891590233,196,1.4412352537851647,-0.16962813782556185,410,1.2763623572000122,0.12796686206366312,314,0.5882352941176471,34
CHEMBL233_Ki,17,52,1.2158985340881834,0.5148681408954257,374,1.2090255097523177,0.45350567053323343,657,1.2106712489155969,0.4063614364880365,615,0.6923076923076923,52
CHEMBL233_Ki,29,13,1.1648932536246226,0.5484322864313198,374,1.365887855970017,0.3320903572384799,657,1.256654253420287,0.38231913969261566,615,0.5384615384615384,52
CHEMBL233_Ki,43,11,1.223148917870314,0.3843410757883429,374,1.3334963578509171,0.24723709176908118,657,1.1743013211639142,0.3993497064685203,615,0.6153846153846154,52
CHEMBL234_Ki,17,4,1.0822574630760544,0.3498730339502581,92,1.375694394930471,-0.01098638984924559,595,1.1689925222121857,0.21016562171200825,538,0.37142857142857144,35
CHEMBL234_Ki,29,1,1.0932093127061229,0.2820162075018336,92,1.3546864196260129,-0.007554040645708568,595,1.1447114381068206,0.20332230175700391,538,0.45714285714285713,35
CHEMBL234_Ki,43,1,1.104486813301122,0.2643623685955661,92,1.3169580008995756,-0.019350751864539655,595,1.1421860601390492,0.19064170194457297,538,0.37142857142857144,35
CHEMBL235_EC50,17,20,0.8987664241850146,0.2886645274200168,343,1.2515688224500454,-0.11802538941482298,335,1.1332105805873263,-0.10303187526870877,301,0.3448275862068966,29
CHEMBL235_EC50,29,5,0.8926802046140964,0.2900748507452233,343,1.1744408377303446,-0.05352842845898267,335,1.1011540817514565,-0.02978783234042221,301,0.5517241379310345,29
CHEMBL235_EC50,43,40,0.9085860391917094,0.31467126351061775,343,1.2510115220660485,-0.1498884095369431,335,1.1593456567824036,0.00982586580879997,301,0.5862068965517241,29
CHEMBL236_Ki,17,8,1.2460158870694698,0.19075959856598623,316,1.283036233635508,-0.10014473791983695,510,1.6257264152954765,0.27939570875296965,510,0.46875,32
CHEMBL236_Ki,29,15,1.3590098342532657,0.26774705817363986,316,1.2293230755101272,0.023810668160906844,510,1.6799833758479221,0.04067698679546635,510,0.53125,32
CHEMBL236_Ki,43,11,1.2045529257529461,0.19019039461942086,316,1.2674346349006456,-0.0621497195939786,510,1.6059753044300606,0.2659731066304096,510,0.53125,32
CHEMBL237_Ki,17,5,1.4353639205273394,0.27112213806538554,297,1.3850607539337403,0.4345874087740287,454,1.2969987182755642,0.021452988401783116,663,0.5581395348837209,43
CHEMBL237_Ki,29,36,1.2491274744280518,0.31534185385312424,297,1.3351824523468756,0.48737676321179174,454,1.0755793708642654,0.25679976602280336,663,0.5348837209302325,43
CHEMBL237_Ki,43,3,1.3168123342973928,0.2606489415835832,297,1.3481057610306268,0.46743911989679476,454,1.3000833031862,0.11702237969200761,663,0.5581395348837209,43
CHEMBL244_Ki,17,49,1.2034391639519004,0.47260967169945733,381,1.5765013022072376,0.40575012412499717,566,1.5621462113461044,0.4133348386915286,626,0.44036697247706424,109
CHEMBL244_Ki,29,4,1.2363811623997696,0.38006658488140876,381,1.401103590302417,0.3401318426793583,566,1.8383821523184078,0.25510663817444373,626,0.45871559633027525,109
CHEMBL244_Ki,43,36,1.3556803547704228,0.47644778043400454,381,1.3685988844949815,0.45859934944551994,566,1.5786200606981933,0.3947635116929051,626,0.5045871559633027,109
CHEMBL264_Ki,17,13,1.0894945805530563,0.12452143398526765,380,1.1732803323170296,-0.02322140057830939,471,1.1364025254383676,0.32138332035395534,491,0.37037037037037035,27
CHEMBL264_Ki,29,11,1.0526494398638477,0.1419253591776629,380,1.171565309020217,-0.04630307693182788,471,1.1225340609787706,0.33513994548224585,491,0.4444444444444444,27
CHEMBL264_Ki,43,9,1.0913122149473982,-0.06265981840717527,380,1.1782765659807992,-0.08874707106900123,471,1.156020191990309,0.33423488649814737,491,0.48148148148148145,27
CHEMBL4792_Ki,17,1,0.9020647969140031,-0.00439007881929808,166,1.0063042733948078,0.18565262197492602,314,1.2346950830819696,0.34466403453147465,325,0.45454545454545453,44
CHEMBL4792_Ki,29,3,0.8310760463019453,0.0077626358611971365,166,0.9925491795323091,0.24149404325348858,314,1.2154187722150012,0.37072855267459565,325,0.4090909090909091,44
CHEMBL4792_Ki,43,6,0.9746373347567321,0.16335817710025988,166,0.9988620996620294,0.2452031011019363,314,1.1697226801525262,0.3971190694074177,325,0.5,44
