dataset,split,n_molecules,n_candidate_pairs,n_disjoint_pairs,minimum_20_this_split,eligible_both_splits,selected_for_a7
CHEMBL204_Ki,calibration,398,183,59,True,True,True
CHEMBL204_Ki,test,403,95,40,True,True,True
CHEMBL2147_Ki,calibration,461,354,93,True,False,False
CHEMBL2147_Ki,test,206,2,1,False,False,False
CHEMBL214_Ki,calibration,610,124,47,True,True,True
CHEMBL214_Ki,test,616,57,31,True,True,True
CHEMBL219_Ki,calibration,147,4,4,False,False,False
CHEMBL219_Ki,test,147,8,5,False,False,False
CHEMBL228_Ki,calibration,410,132,51,True,True,True
CHEMBL228_Ki,test,314,74,34,True,True,True
CHEMBL233_Ki,calibration,657,261,75,True,True,True
CHEMBL233_Ki,test,615,116,52,True,True,True
CHEMBL234_Ki,calibration,595,189,64,True,True,True
CHEMBL234_Ki,test,538,76,35,True,True,True
CHEMBL235_EC50,calibration,335,103,30,True,True,True
CHEMBL235_EC50,test,301,59,29,True,True,True
CHEMBL236_Ki,calibration,510,114,33,True,True,True
CHEMBL236_Ki,test,510,73,32,True,True,True
CHEMBL237_Ki,calibration,454,79,37,True,True,True
CHEMBL237_Ki,test,663,97,43,True,True,True
CHEMBL239_EC50,calibration,79,6,3,False,False,False
CHEMBL239_EC50,test,78,21,8,False,False,False
CHEMBL244_Ki,calibration,566,252,81,True,True,True
CHEMBL244_Ki,test,626,403,109,True,True,True
CHEMBL264_Ki,calibration,471,82,47,True,True,True
CHEMBL264_Ki,test,491,41,27,True,True,True
CHEMBL287_Ki,calibration,149,20,12,False,False,False
CHEMBL287_Ki,test,130,22,10,False,False,False
CHEMBL4792_Ki,calibration,314,66,35,True,True,True
CHEMBL4792_Ki,test,325,177,44,True,True,True
