dataset,seed,n_model_train,n_development,development_fraction_of_training_pool,n_train_groups,n_development_groups,group_overlap
CHEMBL204_Ki,17,1562,391,0.20020481310803892,141,53,0
CHEMBL204_Ki,29,1562,391,0.20020481310803892,140,54,0
CHEMBL204_Ki,43,1562,391,0.20020481310803892,127,67,0
CHEMBL214_Ki,17,1875,216,0.10329985652797705,1,44,0
CHEMBL214_Ki,29,1875,216,0.10329985652797705,1,44,0
CHEMBL214_Ki,43,1875,216,0.10329985652797705,1,44,0
CHEMBL228_Ki,17,784,196,0.2,151,20,0
CHEMBL228_Ki,29,784,196,0.2,155,16,0
CHEMBL228_Ki,43,784,196,0.2,110,61,0
CHEMBL233_Ki,17,1496,374,0.2,90,91,0
CHEMBL233_Ki,29,1496,374,0.2,147,34,0
CHEMBL233_Ki,43,1496,374,0.2,91,90,0
CHEMBL234_Ki,17,2432,92,0.03645007923930269,1,45,0
CHEMBL234_Ki,29,2432,92,0.03645007923930269,1,45,0
CHEMBL234_Ki,43,2432,92,0.03645007923930269,1,45,0
CHEMBL235_EC50,17,1370,343,0.20023350846468185,62,49,0
CHEMBL235_EC50,29,1370,343,0.20023350846468185,66,45,0
CHEMBL235_EC50,43,1370,343,0.20023350846468185,60,51,0
CHEMBL236_Ki,17,1262,316,0.2002534854245881,280,41,0
CHEMBL236_Ki,29,1262,316,0.2002534854245881,181,140,0
CHEMBL236_Ki,43,1262,316,0.2002534854245881,229,92,0
CHEMBL237_Ki,17,1189,297,0.19986541049798115,192,5,0
CHEMBL237_Ki,29,1189,297,0.19986541049798115,176,21,0
CHEMBL237_Ki,43,1189,297,0.19986541049798115,142,55,0
CHEMBL244_Ki,17,1524,381,0.2,106,39,0
CHEMBL244_Ki,29,1524,381,0.2,118,27,0
CHEMBL244_Ki,43,1524,381,0.2,125,20,0
CHEMBL264_Ki,17,1520,380,0.2,28,64,0
CHEMBL264_Ki,29,1520,380,0.2,38,54,0
CHEMBL264_Ki,43,1520,380,0.2,35,57,0
CHEMBL4792_Ki,17,666,166,0.19951923076923078,33,12,0
CHEMBL4792_Ki,29,666,166,0.19951923076923078,34,11,0
CHEMBL4792_Ki,43,666,166,0.19951923076923078,21,24,0
