cell_id,family,task,model,seed,method,policy,alpha,n_calibration,n_test,fraction,index,empirical_risk,corrected_risk,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,index_tiebreak_v1,0.05,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,index_tiebreak_v1,0.1,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,index_tiebreak_v1,0.2,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,include_all_exact_ties_v2,0.05,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.019877675840978597,0.039252452850385575,0.9908256880733946,0.9709480122324159,0.0006520957006655873,0.037037037037037035
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,include_all_exact_ties_v2,0.1,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.019877675840978597,0.039252452850385575,0.9908256880733946,0.9709480122324159,0.0006520957006655873,0.037037037037037035
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,include_all_exact_ties_v2,0.2,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.019877675840978597,0.039252452850385575,0.9908256880733946,0.9709480122324159,0.0006520957006655873,0.037037037037037035
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,index_tiebreak_v1,0.05,119,109,0.2,20,0.04201680672268908,0.05,0.027522935779816515,0.21535673358161467,0.18252193973424513,0.18252193973424513,0.0,0.21052631578947367
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,index_tiebreak_v1,0.1,119,109,0.05,5,0.08403361344537816,0.09166666666666666,0.09174311926605505,0.06904047734759217,0.5037461773700306,0.5037461773700306,0.0,0.06818181818181818
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,index_tiebreak_v1,0.2,119,109,0.01,1,0.1638655462184874,0.17083333333333334,0.16972477064220184,0.03860035714971998,0.8348623853211009,0.8211009174311926,0.0,0.037037037037037035
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,include_all_exact_ties_v2,0.05,119,109,0.2,20,0.04201680672268908,0.05,0.027522935779816515,0.2242764016083196,0.17596680205625148,0.17596680205625148,0.008919668026704934,0.21568627450980393
