cell_id,family,task,model,seed,method,origin,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction,random_atom_fraction,saving_vs_random
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,fresh_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035,0.9109252060222288,0.8723248488725088
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,fresh_full_partition,0.05,5,0.08403361344537816,0.09166666666666666,119,0.1,0.09174311926605505,0.0690404773475922,0.5037461773700306,0.5037461773700306,0.0,0.06818181818181818,0.9109252060222288,0.8418847286746366
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,historical_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,,0.037037037037037035,0.9109252060222288,0.8723248488725088
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,historical_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,,0.037037037037037035,0.9109252060222288,0.8723248488725088
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,atom_occlusion,fresh_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035,0.8893335038811342,0.8507331467314142
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,fresh_full_partition,0.18,18,0.08823529411764706,0.09583333333333334,119,0.1,0.07339449541284404,0.19804965069799577,0.18650461940955454,0.18650461940955454,0.0,0.1935483870967742,0.8893335038811342,0.6912838531831385
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,historical_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,,0.037037037037037035,0.8893335038811342,0.8507331467314142
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,gradinput,historical_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,,0.037037037037037035,0.8893335038811342,0.8507331467314142
bxaic__B__gcn__seed42,bxaic,B,gcn,42,atom_occlusion,fresh_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035,0.9109252060222288,0.8723248488725088
bxaic__B__gcn__seed42,bxaic,B,gcn,42,saliency,fresh_full_partition,0.07,7,0.09243697478991597,0.1,119,0.1,0.07339449541284404,0.08836429410290186,0.41377238968982094,0.4122433377020533,0.0,0.08695652173913043,0.9109252060222288,0.8225609119193269
bxaic__B__gcn__seed42,bxaic,B,gcn,42,ig,historical_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,,0.037037037037037035,0.9109252060222288,0.8723248488725088
bxaic__B__gcn__seed42,bxaic,B,gcn,42,gradinput,historical_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,,0.037037037037037035,0.9109252060222288,0.8723248488725088
bxaic__B__gin__seed123,bxaic,B,gin,123,atom_occlusion,fresh_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035,0.9109252060222288,0.8723248488725088
bxaic__B__gin__seed123,bxaic,B,gin,123,saliency,fresh_full_partition,0.01,1,0.06302521008403361,0.07083333333333333,119,0.1,0.07951070336391437,0.03860035714971998,0.9357798165137615,0.91131498470948,0.0,0.037037037037037035,0.9109252060222288,0.8723248488725088
bxaic__B__gin__seed123,bxaic,B,gin,123,ig,historical_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,,0.037037037037037035,0.9109252060222288,0.8723248488725088
bxaic__B__gin__seed123,bxaic,B,gin,123,gradinput,historical_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,,0.037037037037037035,0.9109252060222288,0.8723248488725088
bxaic__B__gin__seed2026,bxaic,B,gin,2026,atom_occlusion,fresh_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035,0.8893335038811342,0.8507331467314142
