cell_id,family,task,model,seed,method,nominal_fraction,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,0.0,0.21052631578947367
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,0.0,0.5
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,0.2,0.027522935779816515,0.2153567335816149,0.1825219397342453,0.1825219397342453,0.0,0.21052631578947367
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,0.0,0.5
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,,0.21052631578947367
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,,0.5
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,,0.21052631578947367
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,,0.5
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,atom_occlusion,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,0.0,0.21052631578947367
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,atom_occlusion,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,0.0,0.5
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,0.2,0.07339449541284404,0.2153567335816149,0.17044242903088133,0.17044242903088133,0.0,0.21052631578947367
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,0.0,0.5
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,,0.21052631578947367
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,,0.5
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,gradinput,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,,0.21052631578947367
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,gradinput,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,,0.5
bxaic__B__gcn__seed42,bxaic,B,gcn,42,atom_occlusion,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,0.0,0.21052631578947367
bxaic__B__gcn__seed42,bxaic,B,gcn,42,atom_occlusion,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,0.0,0.5
bxaic__B__gcn__seed42,bxaic,B,gcn,42,saliency,0.2,0.027522935779816515,0.2153567335816149,0.1825219397342453,0.1825219397342453,0.0,0.21052631578947367
bxaic__B__gcn__seed42,bxaic,B,gcn,42,saliency,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,0.0,0.5
bxaic__B__gcn__seed42,bxaic,B,gcn,42,ig,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,,0.21052631578947367
bxaic__B__gcn__seed42,bxaic,B,gcn,42,ig,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,,0.5
bxaic__B__gcn__seed42,bxaic,B,gcn,42,gradinput,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,,0.21052631578947367
bxaic__B__gcn__seed42,bxaic,B,gcn,42,gradinput,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,,0.5
bxaic__B__gin__seed123,bxaic,B,gin,123,atom_occlusion,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,0.0,0.21052631578947367
bxaic__B__gin__seed123,bxaic,B,gin,123,atom_occlusion,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,0.0,0.5
bxaic__B__gin__seed123,bxaic,B,gin,123,saliency,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,0.0,0.21052631578947367
bxaic__B__gin__seed123,bxaic,B,gin,123,saliency,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,0.0,0.5
bxaic__B__gin__seed123,bxaic,B,gin,123,ig,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,,0.21052631578947367
bxaic__B__gin__seed123,bxaic,B,gin,123,ig,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,,0.5
bxaic__B__gin__seed123,bxaic,B,gin,123,gradinput,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,,0.21052631578947367
bxaic__B__gin__seed123,bxaic,B,gin,123,gradinput,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,,0.5
bxaic__B__gin__seed2026,bxaic,B,gin,2026,atom_occlusion,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,0.0,0.21052631578947367
bxaic__B__gin__seed2026,bxaic,B,gin,2026,atom_occlusion,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,0.0,0.5
bxaic__B__gin__seed2026,bxaic,B,gin,2026,saliency,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,0.0,0.21052631578947367
bxaic__B__gin__seed2026,bxaic,B,gin,2026,saliency,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,0.0,0.5
bxaic__B__gin__seed2026,bxaic,B,gin,2026,ig,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,,0.21052631578947367
bxaic__B__gin__seed2026,bxaic,B,gin,2026,ig,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,,0.5
bxaic__B__gin__seed2026,bxaic,B,gin,2026,gradinput,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,,0.21052631578947367
bxaic__B__gin__seed2026,bxaic,B,gin,2026,gradinput,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,,0.5
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,0.0,0.21052631578947367
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,0.0,0.5
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,0.2,0.0045871559633027525,0.2153567335816149,0.18416020972113914,0.18370149412480885,0.0,0.21052631578947367
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,0.0,0.5
bxaic__B__gin__seed42,bxaic,B,gin,42,ig,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,,0.21052631578947367
bxaic__B__gin__seed42,bxaic,B,gin,42,ig,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,,0.5
bxaic__B__gin__seed42,bxaic,B,gin,42,gradinput,0.2,0.0,0.2153567335816149,0.18645378770279053,0.18645378770279053,,0.21052631578947367
bxaic__B__gin__seed42,bxaic,B,gin,42,gradinput,0.5,0.0,0.5084508774602265,0.07980815850049526,0.07980815850049526,,0.5
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,0.2,0.5103653109608713,0.21298198177985175,0.6722443092883132,0.38890501867048033,0.0,0.21052631578947367
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,0.5,0.14255620880553205,0.5081667780172197,0.5137579989621112,0.4690435331134915,0.0,0.5
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,0.2,0.8239013137497166,0.21298198177985175,0.2525939367168144,0.12118536770466007,0.0,0.21052631578947367
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,0.5,0.456723249529151,0.5081667780172197,0.3210776148579653,0.2546370544027429,0.0,0.5
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,ig,0.2,0.596825548321217,0.21298198177985175,0.560303666830221,0.3026870361013552,,0.21052631578947367
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,ig,0.5,0.20115890170708797,0.5081667780172197,0.47998859487621576,0.42162170678834204,,0.5
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,gradinput,0.2,0.543909735815529,0.21298198177985175,0.6108377402408907,0.34760155276247934,,0.21052631578947367
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,gradinput,0.5,0.20396658475976293,0.5081667780172197,0.4803440734220217,0.4212325364345734,,0.5
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,0.2,0.4761303268409387,0.21298198177985175,0.7218483662783899,0.428708323757582,0.0,0.21052631578947367
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,0.5,0.1299291258481838,0.5081667780172197,0.5224183014485381,0.47936195889018174,0.0,0.5
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,0.2,0.7642968616236077,0.21298198177985175,0.33468194879928204,0.1692131668393745,0.0,0.21052631578947367
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,0.5,0.32937019992380034,0.5081667780172197,0.4033197769661013,0.33856264913985545,0.0,0.5
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,0.2,0.7660225174572767,0.21298198177985175,0.3436236908116188,0.16503141733424107,,0.21052631578947367
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,0.5,0.28615838882487504,0.5081667780172197,0.4266422049580637,0.3582891178790122,,0.5
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,0.2,0.49209833610212605,0.21298198177985175,0.6890578559045993,0.40852585693816323,,0.21052631578947367
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,0.5,0.19913714316123635,0.5081667780172197,0.48691322349963856,0.4284851250446872,,0.5
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,0.2,0.4897380174518778,0.21298198177985175,0.6996516730317878,0.4109045074358541,0.0,0.21052631578947367
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,0.5,0.12410993726640725,0.5081667780172197,0.5252951242306466,0.48248213576706406,0.0,0.5
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,saliency,0.2,0.7759096718016588,0.21298198177985175,0.3343705461450621,0.16569445098771216,0.0,0.21052631578947367
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,saliency,0.5,0.42474920831038865,0.5081667780172197,0.3497913672993303,0.2797943088860492,0.0,0.5
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,0.2,0.6860680945615976,0.21298198177985175,0.43913507595450973,0.22181680361674883,,0.21052631578947367
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,0.5,0.2462201930596625,0.5081667780172197,0.4496140152113325,0.38368782005389557,,0.5
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,0.2,0.5872678340328584,0.21298198177985175,0.578409247525151,0.32060379115039334,,0.21052631578947367
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,0.5,0.19969793937038122,0.5081667780172197,0.48070308256655,0.42305148236950346,,0.5
bxaic__indole__gin__seed123,bxaic,indole,gin,123,atom_occlusion,0.2,0.30363670123415665,0.21298198177985175,0.9253165733987606,0.6362024590955361,0.0,0.21052631578947367
bxaic__indole__gin__seed123,bxaic,indole,gin,123,atom_occlusion,0.5,0.02316692812090755,0.5081667780172197,0.5944936997419956,0.5798208672784204,0.0,0.5
bxaic__indole__gin__seed123,bxaic,indole,gin,123,saliency,0.2,0.4408704845155847,0.21298198177985175,0.7532649165261309,0.459024634340355,0.0,0.21052631578947367
bxaic__indole__gin__seed123,bxaic,indole,gin,123,saliency,0.5,0.1219106751997927,0.5081667780172197,0.5271028693288733,0.48434460310000255,0.0,0.5
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,0.2,0.4636693714454949,0.21298198177985175,0.7246527976828024,0.43052844034535404,,0.21052631578947367
