left,right,metric,comparison,cells,strict_order_reversals,full_ties,subset_ties
ig,gradinput,risk,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,19,14,16
ig,gradinput,mean_atom_fraction,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,1,21,20
ig,gradinput,iou,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,4,14,16
ig,atom_occlusion,risk,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,12,14,18
ig,atom_occlusion,mean_atom_fraction,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,0,22,23
ig,atom_occlusion,iou,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,1,14,18
ig,saliency,risk,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,24,0,0
ig,saliency,mean_atom_fraction,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,2,8,6
ig,saliency,iou,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,1,0,0
gradinput,atom_occlusion,risk,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,18,14,16
gradinput,atom_occlusion,mean_atom_fraction,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,0,23,22
gradinput,atom_occlusion,iou,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,2,14,16
gradinput,saliency,risk,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,23,0,0
gradinput,saliency,mean_atom_fraction,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,0,7,7
gradinput,saliency,iou,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,1,0,0
atom_occlusion,saliency,risk,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,21,0,0
atom_occlusion,saliency,mean_atom_fraction,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,1,7,6
atom_occlusion,saliency,iou,fresh_full_added_methods_and_historical_full_gradients_vs_historical_subset,66,3,0,0
