cell_id,family,task,model,seed,method,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.99,0.9633333333333334,0.0,0.037037037037037035
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,0.07,7,0.09,0.09900990099009901,100,0.1,0.065,0.088227123717233,0.4110119047619049,0.40934523809523815,0.0,0.08695652173913043
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,atom_occlusion,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.99,0.9633333333333334,0.0,0.037037037037037035
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,0.2,20,0.09,0.09900990099009901,100,0.1,0.08,0.2157163740311308,0.16828224764366065,0.16828224764366065,0.0,0.2113237639553429
bxaic__B__gcn__seed42,bxaic,B,gcn,42,atom_occlusion,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.99,0.9633333333333334,0.0,0.037037037037037035
bxaic__B__gcn__seed42,bxaic,B,gcn,42,saliency,0.08,8,0.08,0.0891089108910891,100,0.1,0.06,0.09827200537309151,0.38396367521367525,0.3822970085470086,0.0,0.09478885893980234
bxaic__B__gin__seed123,bxaic,B,gin,123,atom_occlusion,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.99,0.9633333333333334,0.0,0.037037037037037035
bxaic__B__gin__seed123,bxaic,B,gin,123,saliency,0.01,1,0.06,0.06930693069306931,100,0.1,0.07666666666666667,0.03878533891559978,0.94,0.9133333333333334,0.0,0.037037037037037035
bxaic__B__gin__seed2026,bxaic,B,gin,2026,atom_occlusion,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.99,0.9633333333333334,0.0,0.037037037037037035
bxaic__B__gin__seed2026,bxaic,B,gin,2026,saliency,0.01,1,0.06,0.06930693069306931,100,0.1,0.05666666666666667,0.03878533891559978,0.96,0.9333333333333335,0.0,0.037037037037037035
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.99,0.9633333333333334,0.0,0.037037037037037035
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,0.01,1,0.06,0.06930693069306931,100,0.1,0.105,0.03878533891559978,0.9,0.885,0.0,0.037037037037037035
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,0.61,61,0.08290598290598292,0.09198612168909198,100,0.1,0.04166666666666667,0.627114936479031,0.45704552971597684,0.44517273816209757,0.0,0.625
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,0.87,87,0.07982905982905984,0.08893966319708892,100,0.1,0.07196581196581198,0.8870361362786398,0.3135579149133999,0.3048686623606719,0.0,0.8837209302325582
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,0.5700000000000001,57,0.09068376068376068,0.09968689176609966,100,0.1,0.05918803418803419,0.5865030808876156,0.4783294023372235,0.4604317185431712,0.0,0.5851357570179475
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,0.74,74,0.08841880341880341,0.09744435982059742,100,0.1,0.07376068376068379,0.7566755075099121,0.3668332840029997,0.3550646707648748,0.0,0.7539722572509457
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,0.55,55,0.08823504273504273,0.09726241854954723,100,0.1,0.08371794871794873,0.5649667184462824,0.47995009249411097,0.4549787828932635,0.0,0.5625
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,saliency,0.87,87,0.08699572649572648,0.09603537276804598,100,0.1,0.07200854700854702,0.8870361362786398,0.314144211764687,0.30530519274140816,0.0,0.8837209302325582
bxaic__indole__gin__seed123,bxaic,indole,gin,123,atom_occlusion,0.35000000000000003,35,0.08191452991452992,0.091004485063891,100,0.1,0.07051282051282053,0.3673562899899768,0.7347425661526613,0.685752352934507,0.0,0.36363636363636365
bxaic__indole__gin__seed123,bxaic,indole,gin,123,saliency,0.55,55,0.08852136752136751,0.09754590843699754,100,0.1,0.0938034188034188,0.5649667184462824,0.4755825329742261,0.4474318153198488,0.0,0.5625
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,atom_occlusion,0.41000000000000003,41,0.08528632478632478,0.09434289582804434,100,0.1,0.06487179487179487,0.4268167022833334,0.6439056653731847,0.6086742817001575,0.0,0.4274004683840749
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,saliency,0.63,63,0.09003418803418803,0.09904375052889901,100,0.1,0.08888888888888889,0.646890265645836,0.420360108850561,0.4008908151658964,0.0,0.6451612903225806
bxaic__indole__gin__seed42,bxaic,indole,gin,42,atom_occlusion,0.4,40,0.0897051282051282,0.09871794871794871,100,0.1,0.065982905982906,0.41310256295373804,0.6639061610192397,0.627294513164171,0.0,0.41025641025641024
bxaic__indole__gin__seed42,bxaic,indole,gin,42,saliency,0.58,58,0.09038461538461542,0.09939070830159934,100,0.1,0.08470085470085469,0.5950041255647353,0.4554695232180935,0.4328334552175789,0.0,0.59375
bxaic__P__gcn__seed123,bxaic,P,gcn,123,atom_occlusion,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.0,0.043478260869565216
bxaic__P__gcn__seed123,bxaic,P,gcn,123,saliency,0.04,4,0.08249299719887956,0.09157722494938571,100,0.1,0.08350980392156863,0.055257623773355115,0.6511666666666666,0.617656862745098,0.0,0.050957481337228175
