cell_id,family,task,model,seed,method,origin,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,fresh_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.019877675840978597,0.039252452850385575,0.9908256880733946,0.9709480122324159,0.0006520957006655873,0.037037037037037035
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,fresh_full_partition,0.05,5,0.08403361344537816,0.09166666666666666,119,0.1,0.09174311926605505,0.07118271192101944,0.4962538226299694,0.4962538226299694,0.002142234573427234,0.06818181818181818
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,atom_occlusion,fresh_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.02446483180428135,0.03887018985344367,0.9908256880733946,0.966360856269113,0.0002698327037236913,0.037037037037037035
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,fresh_full_partition,0.17,17,0.09243697478991597,0.1,119,0.1,0.08256880733944955,0.1965510412105731,0.1893614875386966,0.1893614875386966,0.008086336362167977,0.1875
bxaic__B__gcn__seed42,bxaic,B,gcn,42,atom_occlusion,fresh_full_partition,0.01,1,0.008403361344537815,0.016666666666666666,119,0.1,0.015290519877675842,0.03946616590813533,0.989296636085627,0.9740061162079511,0.0008658087584153424,0.037037037037037035
bxaic__B__gcn__seed42,bxaic,B,gcn,42,saliency,fresh_full_partition,0.07,7,0.09243697478991597,0.1,119,0.1,0.06422018348623854,0.09830961172380938,0.38594364351245086,0.38594364351245086,0.009945317620907548,0.09090909090909091
bxaic__B__gin__seed123,bxaic,B,gin,123,atom_occlusion,fresh_full_partition,0.01,1,0.004201680672268907,0.0125,119,0.1,0.015290519877675842,0.03936163612200813,0.9908256880733946,0.9755351681957186,0.0007612789722881466,0.037037037037037035
bxaic__B__gin__seed123,bxaic,B,gin,123,saliency,fresh_full_partition,0.01,1,0.06302521008403361,0.07083333333333333,119,0.1,0.06574923547400612,0.039631468825731826,0.9357798165137615,0.9250764525993883,0.001031111676011838,0.037037037037037035
bxaic__B__gin__seed2026,bxaic,B,gin,2026,atom_occlusion,fresh_full_partition,0.01,1,0.012605042016806723,0.020833333333333332,119,0.1,0.019877675840978597,0.03923057452305662,0.9908256880733946,0.9709480122324159,0.0006302173733366394,0.037037037037037035
bxaic__B__gin__seed2026,bxaic,B,gin,2026,saliency,fresh_full_partition,0.01,1,0.0546218487394958,0.0625,119,0.1,0.04281345565749236,0.03950040722678032,0.963302752293578,0.948012232415902,0.0009000500770603307,0.037037037037037035
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,fresh_full_partition,0.01,1,0.008403361344537815,0.016666666666666666,119,0.1,0.015290519877675842,0.03946616590813533,0.989296636085627,0.9740061162079511,0.0008658087584153424,0.037037037037037035
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,fresh_full_partition,0.01,1,0.06302521008403361,0.07083333333333333,119,0.1,0.09174311926605505,0.039279260904716555,0.908256880733945,0.8990825688073395,0.0006789037549965774,0.037037037037037035
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,fresh_full_partition,0.56,56,0.09379198202727614,0.09427196508764409,1887,0.1,0.0923820795098543,0.5778899614711976,0.4828409508821905,0.4573754298407313,0.0007212481445705577,0.5757575757575758
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,fresh_full_partition,0.85,85,0.09570475452828396,0.09618372446762408,1887,0.1,0.09022380945770227,0.8679367174527545,0.326054642739698,0.31535232503102495,0.002691511694586626,0.8648648648648649
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,fresh_full_partition,0.55,55,0.09790378613908027,0.09838159133710099,1887,0.1,0.09125535826943516,0.566454761138222,0.49167714598878903,0.4639395877124454,0.0007987652027869022,0.5652173913043478
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,fresh_full_partition,0.7000000000000001,70,0.09699201463907348,0.09747030276691426,1887,0.1,0.09399522903854252,0.7203699463888509,0.38969789222918755,0.37314953569096165,0.0023819874028365566,0.717948717948718
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,fresh_full_partition,0.54,54,0.09387788995632133,0.09435782751460849,1887,0.1,0.09255690293183526,0.5569585193228944,0.4993053556342773,0.47005765612321027,0.0008237260473301236,0.5555555555555556
