cell_id,family,task,model,seed,split,occurrences,grid_pairs,affected_grid_pairs,affected_occurrences
bxaic__B__gcn__seed123,bxaic,B,gcn,123,calibration,119,12019,19,11
bxaic__B__gcn__seed123,bxaic,B,gcn,123,test,109,11009,27,15
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,calibration,119,12019,19,11
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,test,109,11009,27,15
bxaic__B__gcn__seed42,bxaic,B,gcn,42,calibration,119,12019,19,11
bxaic__B__gcn__seed42,bxaic,B,gcn,42,test,109,11009,27,15
bxaic__B__gin__seed123,bxaic,B,gin,123,calibration,119,12019,19,11
bxaic__B__gin__seed123,bxaic,B,gin,123,test,109,11009,27,15
bxaic__B__gin__seed2026,bxaic,B,gin,2026,calibration,119,12019,19,11
bxaic__B__gin__seed2026,bxaic,B,gin,2026,test,109,11009,27,15
bxaic__B__gin__seed42,bxaic,B,gin,42,calibration,119,12019,19,11
bxaic__B__gin__seed42,bxaic,B,gin,42,test,109,11009,27,15
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,calibration,1887,190587,527,288
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,test,1847,186547,481,272
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,calibration,1887,190587,527,288
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,test,1847,186547,481,272
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,calibration,1887,190587,527,288
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,test,1847,186547,481,272
bxaic__indole__gin__seed123,bxaic,indole,gin,123,calibration,1887,190587,527,288
bxaic__indole__gin__seed123,bxaic,indole,gin,123,test,1847,186547,481,272
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,calibration,1887,190587,527,288
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,test,1847,186547,481,272
bxaic__indole__gin__seed42,bxaic,indole,gin,42,calibration,1887,190587,527,288
bxaic__indole__gin__seed42,bxaic,indole,gin,42,test,1847,186547,481,272
bxaic__P__gcn__seed123,bxaic,P,gcn,123,calibration,657,66357,159,95
bxaic__P__gcn__seed123,bxaic,P,gcn,123,test,638,64438,151,79
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,calibration,657,66357,159,95
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,test,638,64438,151,79
bxaic__P__gcn__seed42,bxaic,P,gcn,42,calibration,657,66357,159,95
bxaic__P__gcn__seed42,bxaic,P,gcn,42,test,638,64438,151,79
bxaic__P__gin__seed123,bxaic,P,gin,123,calibration,657,66357,159,95
bxaic__P__gin__seed123,bxaic,P,gin,123,test,638,64438,151,79
bxaic__P__gin__seed2026,bxaic,P,gin,2026,calibration,657,66357,159,95
bxaic__P__gin__seed2026,bxaic,P,gin,2026,test,638,64438,151,79
bxaic__P__gin__seed42,bxaic,P,gin,42,calibration,657,66357,159,95
bxaic__P__gin__seed42,bxaic,P,gin,42,test,638,64438,151,79
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,calibration,1625,164125,427,254
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,test,1644,166044,424,242
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,calibration,1625,164125,427,254
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,test,1644,166044,424,242
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,calibration,1625,164125,427,254
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,test,1644,166044,424,242
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,calibration,1625,164125,427,254
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,test,1644,166044,424,242
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,calibration,1625,164125,427,254
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,test,1644,166044,424,242
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,calibration,1625,164125,427,254
