method,score_origin,grid,split,q,nominal_fraction,risk,mean_atom_fraction,precision,iou
atom_occlusion,P20_frozen_cache,exact_integer,calibration,0,0.0,1.0,0.0,0.0,0.0
atom_occlusion,P20_frozen_cache,exact_integer,calibration,1,0.01,0.6876513784730234,0.038832759623658626,0.8124238924852977,0.31083819965714304
atom_occlusion,P20_frozen_cache,exact_integer,calibration,2,0.02,0.6821353870470868,0.03987237593695166,0.8037322146705527,0.308405597655636
atom_occlusion,P20_frozen_cache,exact_integer,calibration,3,0.03,0.6676745947783828,0.04451957798119884,0.7725144837363068,0.2929023657200316
atom_occlusion,P20_frozen_cache,exact_integer,calibration,4,0.04,0.6492246243642247,0.05230529483247348,0.7369726776925412,0.2772585756315728
atom_occlusion,P20_frozen_cache,exact_integer,calibration,5,0.05,0.6066853892244811,0.07146821027535162,0.6929656567129606,0.2892062539765203
atom_occlusion,P20_frozen_cache,exact_integer,calibration,6,0.06,0.5894482981607594,0.08128047488358635,0.6668459668505675,0.28480035674189075
atom_occlusion,P20_frozen_cache,exact_integer,calibration,7,0.07,0.5784343696171353,0.08825021120196502,0.652000779766396,0.28117784137231433
atom_occlusion,P20_frozen_cache,exact_integer,calibration,8,0.08,0.5703449117252583,0.09457320573093737,0.6376079929770946,0.2751910228448354
atom_occlusion,P20_frozen_cache,exact_integer,calibration,9,0.09,0.5412495400711393,0.10935276158597591,0.6224004226309869,0.28973572845807755
atom_occlusion,P20_frozen_cache,exact_integer,calibration,10,0.1,0.5259059356273285,0.11923673909718553,0.6103752723564354,0.29306756696752373
atom_occlusion,P20_frozen_cache,exact_integer,calibration,11,0.11,0.5137659802734426,0.1286813280269692,0.5989417133013525,0.29369425160786233
atom_occlusion,P20_frozen_cache,exact_integer,calibration,12,0.12,0.505444624444573,0.13572165263079028,0.5902594955654165,0.2937460897905892
atom_occlusion,P20_frozen_cache,exact_integer,calibration,13,0.13,0.4859561743835648,0.1483662494008562,0.579193437600946,0.3019666183334437
atom_occlusion,P20_frozen_cache,exact_integer,calibration,14,0.14,0.47106037784612065,0.15955501937259028,0.5691797940928356,0.3071580149672118
atom_occlusion,P20_frozen_cache,exact_integer,calibration,15,0.15,0.4613984512228454,0.16769647564508364,0.5621909846218633,0.308979434089764
atom_occlusion,P20_frozen_cache,exact_integer,calibration,16,0.16,0.450591496671333,0.1768345078689763,0.5560646420650118,0.31225114926891845
atom_occlusion,P20_frozen_cache,exact_integer,calibration,17,0.17,0.4313526851591251,0.19041663452660856,0.5471417533277213,0.3206579088752052
atom_occlusion,P20_frozen_cache,exact_integer,calibration,18,0.18,0.42031138565313897,0.19940267296563297,0.5413811633715025,0.3247320798633007
atom_occlusion,P20_frozen_cache,exact_integer,calibration,19,0.19,0.4115129880444242,0.20748360228991602,0.5365508136732168,0.3276741219472376
atom_occlusion,P20_frozen_cache,exact_integer,calibration,20,0.2,0.4037837001823235,0.21416555529307224,0.5327942442198655,0.3303791043645917
atom_occlusion,P20_frozen_cache,exact_integer,calibration,21,0.21,0.38314065769176686,0.22981569416637893,0.5252026789149111,0.3392031281510295
atom_occlusion,P20_frozen_cache,exact_integer,calibration,22,0.22,0.3710546983380105,0.2405142142743002,0.5198929413070288,0.34367896712394735
atom_occlusion,P20_frozen_cache,exact_integer,calibration,23,0.23,0.3621376054792986,0.2485661927088592,0.516334442819953,0.3471075251689175
atom_occlusion,P20_frozen_cache,exact_integer,calibration,24,0.24,0.3530871288748024,0.2577262229465603,0.5116764821744471,0.34967746394167665
atom_occlusion,P20_frozen_cache,exact_integer,calibration,25,0.25,0.34507053261063597,0.2650262658597386,0.5077399495933845,0.3515141148835654
atom_occlusion,P20_frozen_cache,exact_integer,calibration,26,0.26,0.332418012881288,0.2782136265990654,0.501151903122692,0.3547336517995019
atom_occlusion,P20_frozen_cache,exact_integer,calibration,27,0.27,0.32172071259357876,0.2884883970708847,0.4968561584921324,0.3577264532321518
atom_occlusion,P20_frozen_cache,exact_integer,calibration,28,0.28,0.3145090632732331,0.2966650996756083,0.493032906948444,0.35884563828733157
atom_occlusion,P20_frozen_cache,exact_integer,calibration,29,0.29,0.30308410895400406,0.3089066073942901,0.48671417907138503,0.3601517352472229
atom_occlusion,P20_frozen_cache,exact_integer,calibration,30,0.3,0.29545339420287914,0.31766176048705985,0.48252074505854897,0.3609869695153805
atom_occlusion,P20_frozen_cache,exact_integer,calibration,31,0.31,0.2857160746727749,0.3288750372983629,0.4776073334800263,0.3620932850861671
atom_occlusion,P20_frozen_cache,exact_integer,calibration,32,0.32,0.27841938073323663,0.33787372414821815,0.4735022203934412,0.36275339494424474
atom_occlusion,P20_frozen_cache,exact_integer,calibration,33,0.33,0.27195410379169704,0.34617712830030545,0.4693873205247009,0.36246825921846976
atom_occlusion,P20_frozen_cache,exact_integer,calibration,34,0.34,0.26086488173914785,0.35998090336882355,0.46315010233066384,0.3630760126298424
atom_occlusion,P20_frozen_cache,exact_integer,calibration,35,0.35,0.25476377046345483,0.36845174183254975,0.45955107625511776,0.3628630521915804
atom_occlusion,P20_frozen_cache,exact_integer,calibration,36,0.36,0.24936849167754016,0.3767888644136888,0.45621518576343445,0.36267831417977103
