cell_id,family,task,model,seed,method,score_origin,grid,split,q,nominal_fraction,n,risk,mean_atom_fraction,precision,iou
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,0,0.0,119,1.0,0.0,0.0,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,1,0.01,119,0.0126050420168067,0.0388235249186916,0.9901960784313726,0.977591036414566
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,2,0.02,119,0.0084033613445378,0.0406575999987116,0.938375350140056,0.9299719887955182
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,3,0.03,119,0.0042016806722689,0.0471312580494809,0.8196778711484594,0.8154761904761904
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,4,0.04,119,0.0,0.0569414606011543,0.6875986758339698,0.6875986758339698
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,5,0.05,119,0.0,0.0674421923251645,0.5812786653122789,0.5812786653122789
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,6,0.06,119,0.0,0.0789032434141621,0.4938725490196078,0.4938725490196078
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,7,0.07,119,0.0,0.0879256784931679,0.4488328664799255,0.4488328664799255
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,8,0.08,119,0.0,0.099215054930369,0.3902597402597403,0.3902597402597403
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,9,0.09,119,0.0,0.1073208753565502,0.3627903335247143,0.3627903335247143
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,10,0.1,119,0.0,0.1191194594713884,0.3247852987348785,0.3247852987348785
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,11,0.11,119,0.0,0.1296652755871236,0.2976857409630518,0.2976857409630518
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,12,0.12,119,0.0,0.1391622193885787,0.276486562366882,0.276486562366882
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,13,0.13,119,0.0,0.1480943693538333,0.262480892535267,0.262480892535267
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,14,0.14,119,0.0,0.1577897092416806,0.2479082382554296,0.2479082382554296
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,15,0.15,119,0.0,0.1679517923160564,0.230812829364355,0.230812829364355
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,16,0.16,119,0.0,0.1793952690525419,0.215652537665245,0.215652537665245
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,17,0.17,119,0.0,0.1908235996791571,0.2030969456800657,0.2030969456800657
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,18,0.18,119,0.0,0.1978168902776678,0.1965916568309698,0.1965916568309698
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,19,0.19,119,0.0,0.2079986626848582,0.1871712271322114,0.1871712271322114
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,20,0.2,119,0.0,0.2159682813718051,0.1806234929640761,0.1806234929640761
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,21,0.21,119,0.0,0.2286280517340881,0.170284010125829,0.170284010125829
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,22,0.22,119,0.0,0.2400079266358904,0.1616294536462602,0.1616294536462602
