method,score_origin,grid,alpha,family,risk,mean_atom_fraction,precision,iou
atom_occlusion,P20_frozen_cache,exact_integer,0.05,bxaic,0.041684039136522945,0.4936744087171466,0.5959764315866364,0.5722739916634826
atom_occlusion,P20_frozen_cache,exact_integer,0.05,google,0.03820036981128143,0.7086893603724378,0.4821550766348256,0.4677336494938709
atom_occlusion,P20_frozen_cache,exact_integer,0.1,bxaic,0.08544546188776743,0.43458380017056175,0.6684971950180304,0.6193227120367181
atom_occlusion,P20_frozen_cache,exact_integer,0.1,google,0.09122502750581298,0.6010603221179737,0.5421586501371081,0.5050262112522415
atom_occlusion,P20_frozen_cache,exact_integer,0.2,bxaic,0.15749523765718879,0.35548239137276555,0.729892995474807,0.640802793497816
atom_occlusion,P20_frozen_cache,exact_integer,0.2,google,0.1917236531580872,0.4691673874021948,0.61877141879532,0.5294788682638145
atom_occlusion,P20_frozen_cache,machine,0.05,bxaic,0.041684039136522945,0.4936744087171466,0.5959764315866364,0.5722739916634826
atom_occlusion,P20_frozen_cache,machine,0.05,google,0.03820036981128143,0.7088666653369767,0.4819176146287466,0.46749618748779187
atom_occlusion,P20_frozen_cache,machine,0.1,bxaic,0.08533097599923514,0.4347147779637353,0.6684285870302936,0.6193354663632216
atom_occlusion,P20_frozen_cache,machine,0.1,google,0.09122502750581298,0.6010603221179737,0.5421586501371081,0.5050262112522415
atom_occlusion,P20_frozen_cache,machine,0.2,bxaic,0.1574570354529216,0.35556452155633256,0.729866797081706,0.6407835743178586
atom_occlusion,P20_frozen_cache,machine,0.2,google,0.19183737767918918,0.4692130902346692,0.6189238303998015,0.5295826309433052
gradinput,P01_checkpoint_rerun,exact_integer,0.05,bxaic,0.04127674562014032,0.5756365531073937,0.5537321271422387,0.5330508481132249
gradinput,P01_checkpoint_rerun,exact_integer,0.05,google,0.030674574583278304,0.910799010423752,0.37585455153455055,0.3691786122827607
gradinput,P01_checkpoint_rerun,exact_integer,0.1,bxaic,0.0859154605146073,0.5419352775681683,0.6050578646584139,0.5635965235399271
gradinput,P01_checkpoint_rerun,exact_integer,0.1,google,0.08208009149396865,0.848462597999164,0.3871135762851619,0.3698893580287569
gradinput,P01_checkpoint_rerun,exact_integer,0.2,bxaic,0.15799004646882,0.4749780950042796,0.6428453132013711,0.5731002767019789
gradinput,P01_checkpoint_rerun,exact_integer,0.2,google,0.17810899664415028,0.7421593158386177,0.4075537847823725,0.36744080761404907
gradinput,P01_checkpoint_rerun,machine,0.05,bxaic,0.04127397287950802,0.5756390325773822,0.5537320261897439,0.5330509326466595
gradinput,P01_checkpoint_rerun,machine,0.05,google,0.030674574583278304,0.910799010423752,0.37585455153455055,0.3691786122827607
gradinput,P01_checkpoint_rerun,machine,0.1,bxaic,0.0859154605146073,0.5419352775681683,0.6050578646584139,0.5635965235399271
gradinput,P01_checkpoint_rerun,machine,0.1,google,0.08208009149396865,0.848462597999164,0.3871135762851619,0.3698893580287569
gradinput,P01_checkpoint_rerun,machine,0.2,bxaic,0.1579900180771674,0.47497819153589854,0.6428452664856353,0.5731002413820411
gradinput,P01_checkpoint_rerun,machine,0.2,google,0.1784810204536741,0.7417984123060091,0.4076562162464111,0.36734306027283403
ig,P01_checkpoint_rerun,exact_integer,0.05,bxaic,0.04301310860754816,0.5494764240267341,0.5636642158812474,0.5416969652620675
ig,P01_checkpoint_rerun,exact_integer,0.05,google,0.03998765745725013,0.8445673442607937,0.3959736702907719,0.38708705303626156
ig,P01_checkpoint_rerun,exact_integer,0.1,bxaic,0.08683316479736376,0.5010506791079045,0.6234398845023709,0.5790563654705462
ig,P01_checkpoint_rerun,exact_integer,0.1,google,0.08737427513693727,0.7576739283192865,0.4228558960869332,0.4017715376559081
ig,P01_checkpoint_rerun,exact_integer,0.2,bxaic,0.16167807179207122,0.41877611069853476,0.673191907325595,0.5948881816302477
ig,P01_checkpoint_rerun,exact_integer,0.2,google,0.18545405758534916,0.6143231644250441,0.46858827821566784,0.41663730525356113
ig,P01_checkpoint_rerun,machine,0.05,bxaic,0.04299318738391124,0.5494838624366997,0.5636685073070039,0.541703181481585
ig,P01_checkpoint_rerun,machine,0.05,google,0.03998765745725013,0.8445673442607937,0.3959736702907719,0.38708705303626156
ig,P01_checkpoint_rerun,machine,0.1,bxaic,0.08683316479736376,0.5010514095932045,0.6234396851053774,0.5790561660735528
ig,P01_checkpoint_rerun,machine,0.1,google,0.08755158010147628,0.7573703899289073,0.42294833713682106,0.40181741376561403
ig,P01_checkpoint_rerun,machine,0.2,bxaic,0.16167807179207122,0.41877627178491167,0.6731918420615178,0.5948881164784743
ig,P01_checkpoint_rerun,machine,0.2,google,0.18554442573127286,0.6142562207306494,0.4686371365978596,0.4166136208548767
saliency,P20_frozen_cache,exact_integer,0.05,bxaic,0.0438174424086573,0.5715904180166799,0.3947721029265456,0.38520341278217274
saliency,P20_frozen_cache,exact_integer,0.05,google,0.03154429368231704,0.8566857549461298,0.4087176436756902,0.3989822138458784
