method,score_origin,alpha,risk,mean_atom_fraction,precision,iou,scope
atom_occlusion,P20_frozen_cache,0.05,0.040417250290980575,0.5719261383970848,0.5545004981474038,0.5341729719632314,all
atom_occlusion,P20_frozen_cache,0.1,0.08747426745617254,0.4952040667470948,0.6225122463418625,0.5777684645046833,all
atom_occlusion,P20_frozen_cache,0.2,0.16995897808065527,0.39689127380300043,0.689523900106468,0.6003468676362028,all
gradinput,P01_checkpoint_rerun,0.05,0.03741964622633358,0.6975153881578803,0.48904930813331,0.4734609979688781,all
gradinput,P01_checkpoint_rerun,0.1,0.08452078087073871,0.653399757724894,0.5258053961590496,0.49315755426313784,all
gradinput,P01_checkpoint_rerun,0.2,0.16544129166862437,0.5720037263613933,0.5573219754895538,0.4982794482514203,all
ig,P01_checkpoint_rerun,0.05,0.04190026741057993,0.6567869467363703,0.5026885665738287,0.48547913477419474,all
ig,P01_checkpoint_rerun,0.1,0.08709440672613195,0.59425831153346,0.5505337403895387,0.5146057106888479,all
ig,P01_checkpoint_rerun,0.2,0.17035674595178094,0.48985988958336174,0.5988083128020057,0.5300610271608025,all
saliency,P20_frozen_cache,0.05,0.03931635188250049,0.6753835224876537,0.3997505281061306,0.39014305364072555,all
saliency,P20_frozen_cache,0.1,0.08786430878765245,0.6035772744123133,0.4645900230684799,0.44115077750399273,all
saliency,P20_frozen_cache,0.2,0.17873181306118555,0.508572945982796,0.5166904700502857,0.464670182563589,all
atom_occlusion,P20_frozen_cache,0.05,0.041684039136522945,0.4936744087171466,0.5959764315866364,0.5722739916634826,bxaic
atom_occlusion,P20_frozen_cache,0.1,0.08533097599923514,0.4347147779637353,0.6684285870302936,0.6193354663632216,bxaic
atom_occlusion,P20_frozen_cache,0.2,0.1574570354529216,0.35556452155633256,0.729866797081706,0.6407835743178586,bxaic
gradinput,P01_checkpoint_rerun,0.05,0.04127397287950802,0.5756390325773822,0.5537320261897439,0.5330509326466595,bxaic
gradinput,P01_checkpoint_rerun,0.1,0.0859154605146073,0.5419352775681683,0.6050578646584139,0.5635965235399271,bxaic
gradinput,P01_checkpoint_rerun,0.2,0.1579900180771674,0.47497819153589854,0.6428452664856353,0.5731002413820411,bxaic
ig,P01_checkpoint_rerun,0.05,0.04299318738391124,0.5494838624366997,0.5636685073070039,0.541703181481585,bxaic
ig,P01_checkpoint_rerun,0.1,0.08683316479736376,0.5010514095932045,0.6234396851053774,0.5790561660735528,bxaic
ig,P01_checkpoint_rerun,0.2,0.16167807179207122,0.41877627178491167,0.6731918420615178,0.5948881164784743,bxaic
saliency,P20_frozen_cache,0.05,0.0438174424086573,0.5715934866083356,0.3947709376076833,0.3852022477921964,bxaic
saliency,P20_frozen_cache,0.1,0.09177953921006328,0.5015390015280016,0.4817591997713791,0.4586821646554373,bxaic
saliency,P20_frozen_cache,0.2,0.18011534588390646,0.41414248235934387,0.5422310955515922,0.49256698665147525,bxaic
atom_occlusion,P20_frozen_cache,0.05,0.03820036981128143,0.7088666653369767,0.4819176146287466,0.46749618748779187,google
atom_occlusion,P20_frozen_cache,0.1,0.09122502750581298,0.6010603221179737,0.5421586501371081,0.5050262112522415,google
atom_occlusion,P20_frozen_cache,0.2,0.19183737767918918,0.4692130902346692,0.6189238303998015,0.5295826309433052,google
gradinput,P01_checkpoint_rerun,0.05,0.030674574583278304,0.910799010423752,0.37585455153455055,0.3691786122827607,google
gradinput,P01_checkpoint_rerun,0.1,0.08208009149396865,0.848462597999164,0.3871135762851619,0.3698893580287569,google
gradinput,P01_checkpoint_rerun,0.2,0.1784810204536741,0.7417984123060091,0.4076562162464111,0.36734306027283403,google
ig,P01_checkpoint_rerun,0.05,0.03998765745725013,0.8445673442607937,0.3959736702907719,0.38708705303626156,google
ig,P01_checkpoint_rerun,0.1,0.08755158010147628,0.7573703899289073,0.42294833713682106,0.40181741376561403,google
ig,P01_checkpoint_rerun,0.2,0.18554442573127286,0.6142562207306494,0.4686371365978596,0.4166136208548767,google
saliency,P20_frozen_cache,0.05,0.03143944346172607,0.8570160852764601,0.40846481147841346,0.3987894638756516,google
saliency,P20_frozen_cache,0.1,0.08101265554843348,0.7821442519598588,0.4345439638384065,0.41047084998896455,google
saliency,P20_frozen_cache,0.2,0.1763106306214239,0.6738262573238372,0.4719943754229993,0.4158507754097879,google
