cell_id,family,task,model,seed,method,score_origin,alpha,comparison,machine_q,exact_q,q_change,calibration_occurrences,calibration_changed_sets,test_occurrences,test_changed_sets,machine_risk,exact_risk,delta_risk,machine_mean_atom_fraction,exact_mean_atom_fraction,delta_mean_atom_fraction,machine_precision,exact_precision,delta_precision,machine_iou,exact_iou,delta_iou
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,0.05,fixed_historical_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,0.05,fixed_current_machine_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,0.05,recalibrated,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,0.1,fixed_historical_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,0.1,fixed_current_machine_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,0.1,recalibrated,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,0.2,fixed_historical_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,0.2,fixed_current_machine_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,0.2,recalibrated,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,0.05,fixed_historical_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,0.05,fixed_current_machine_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,0.05,recalibrated,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,0.1,fixed_historical_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,0.1,fixed_current_machine_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,0.1,recalibrated,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,0.2,fixed_historical_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,0.2,fixed_current_machine_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,0.2,recalibrated,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,0.05,fixed_historical_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,0.05,fixed_current_machine_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,0.05,recalibrated,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,0.1,fixed_historical_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,0.1,fixed_current_machine_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,0.1,recalibrated,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,0.2,fixed_historical_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,0.2,fixed_current_machine_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,0.2,recalibrated,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,P20_frozen_cache,0.05,fixed_historical_q,20,20,0,119,0,109,0,0.0275229357798165,0.0275229357798165,0.0,0.2153567335816146,0.2153567335816146,0.0,0.1825219397342451,0.1825219397342451,0.0,0.1825219397342451,0.1825219397342451,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,P20_frozen_cache,0.05,fixed_current_machine_q,20,20,0,119,0,109,0,0.0275229357798165,0.0275229357798165,0.0,0.2153567335816146,0.2153567335816146,0.0,0.1825219397342451,0.1825219397342451,0.0,0.1825219397342451,0.1825219397342451,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,P20_frozen_cache,0.05,recalibrated,20,20,0,119,0,109,0,0.0275229357798165,0.0275229357798165,0.0,0.2153567335816146,0.2153567335816146,0.0,0.1825219397342451,0.1825219397342451,0.0,0.1825219397342451,0.1825219397342451,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,P20_frozen_cache,0.1,fixed_historical_q,5,5,0,119,0,109,0,0.091743119266055,0.091743119266055,0.0,0.0690404773475921,0.0690404773475921,0.0,0.5037461773700306,0.5037461773700306,0.0,0.5037461773700306,0.5037461773700306,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,P20_frozen_cache,0.1,fixed_current_machine_q,5,5,0,119,0,109,0,0.091743119266055,0.091743119266055,0.0,0.0690404773475921,0.0690404773475921,0.0,0.5037461773700306,0.5037461773700306,0.0,0.5037461773700306,0.5037461773700306,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,P20_frozen_cache,0.1,recalibrated,5,5,0,119,0,109,0,0.091743119266055,0.091743119266055,0.0,0.0690404773475921,0.0690404773475921,0.0,0.5037461773700306,0.5037461773700306,0.0,0.5037461773700306,0.5037461773700306,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,P20_frozen_cache,0.2,fixed_historical_q,1,1,0,119,0,109,0,0.1697247706422018,0.1697247706422018,0.0,0.0386003571497199,0.0386003571497199,0.0,0.8348623853211009,0.8348623853211009,0.0,0.8211009174311926,0.8211009174311926,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,P20_frozen_cache,0.2,fixed_current_machine_q,1,1,0,119,0,109,0,0.1697247706422018,0.1697247706422018,0.0,0.0386003571497199,0.0386003571497199,0.0,0.8348623853211009,0.8348623853211009,0.0,0.8211009174311926,0.8211009174311926,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,P20_frozen_cache,0.2,recalibrated,1,1,0,119,0,109,0,0.1697247706422018,0.1697247706422018,0.0,0.0386003571497199,0.0386003571497199,0.0,0.8348623853211009,0.8348623853211009,0.0,0.8211009174311926,0.8211009174311926,0.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,P01_checkpoint_rerun,0.05,fixed_historical_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,P01_checkpoint_rerun,0.05,fixed_current_machine_q,1,1,0,119,0,109,0,0.0290519877675841,0.0290519877675841,0.0,0.0386003571497199,0.0386003571497199,0.0,0.9908256880733946,0.9908256880733946,0.0,0.9617737003058104,0.9617737003058104,0.0
