method,alpha,comparison,cells,q_changed_cells,max_abs_q_change,calibration_occurrences,calibration_changed_sets,calibration_changed_cells,test_occurrences,test_changed_sets,test_changed_cells,macro_delta_risk,max_abs_delta_risk,macro_delta_mean_atom_fraction,max_abs_delta_mean_atom_fraction,macro_delta_precision,max_abs_delta_precision,macro_delta_iou,max_abs_delta_iou
atom_occlusion,0.05,fixed_current_machine_q,66,0,0,82866,10,8,81672,4,1,0.0,0.0,-6.447453255963939e-05,0.0042553191489362,8.634982039237122e-05,0.0056990881458965,8.634982039237424e-05,0.0056990881458967
atom_occlusion,0.05,fixed_historical_q,66,0,0,82866,10,8,81672,4,1,0.0,0.0,-6.447453255963939e-05,0.0042553191489362,8.634982039237122e-05,0.0056990881458965,8.634982039237424e-05,0.0056990881458967
atom_occlusion,0.05,recalibrated,66,0,0,82866,10,8,81672,4,1,0.0,0.0,-6.447453255963939e-05,0.0042553191489362,8.634982039237122e-05,0.0056990881458965,8.634982039237424e-05,0.0056990881458967
atom_occlusion,0.1,fixed_current_machine_q,66,0,0,82866,282,4,81672,269,4,7.285465633871363e-05,0.0023864062304777,-8.334950474680452e-05,0.0019039884497403,4.3659628559790476e-05,0.0011253122660647,-8.116389593134214e-06,0.0014497328145134
atom_occlusion,0.1,fixed_historical_q,66,0,0,82866,282,4,81672,269,4,7.285465633871363e-05,0.0023864062304777,-8.334950474680452e-05,0.0019039884497403,4.3659628559790476e-05,0.0011253122660647,-8.116389593134214e-06,0.0014497328145134
atom_occlusion,0.1,recalibrated,66,0,0,82866,282,4,81672,269,4,7.285465633871363e-05,0.0023864062304777,-8.334950474680452e-05,0.0019039884497403,4.3659628559790476e-05,0.0011253122660647,-8.116389593134214e-06,0.0014497328145134
atom_occlusion,0.2,fixed_current_machine_q,66,0,0,82866,120,8,81672,87,7,0.00025467022381610457,0.0095744680851063,-0.0002613864070068131,0.0086956521739126,0.0001093872171664379,0.0030797101449274,3.910096201401511e-05,0.0018663319637541
atom_occlusion,0.2,fixed_historical_q,66,0,0,82866,120,8,81672,87,7,0.00025467022381610457,0.0095744680851063,-0.0002613864070068131,0.0086956521739126,0.0001093872171664379,0.0030797101449274,3.910096201401511e-05,0.0018663319637541
atom_occlusion,0.2,recalibrated,66,1,1,82866,117,8,81672,88,7,-1.7043877685228785e-05,0.0083586626139817,-6.888387407874794e-05,0.0086956521739126,-3.875069692891967e-05,0.0067375886524821,-2.550149620546235e-05,0.0043566362715298
gradinput,0.05,fixed_current_machine_q,66,0,0,82866,8,7,81672,3,1,1.764471311460606e-06,0.0001164551065564,-1.5778445381333333e-06,0.0001041377395168,6.424249666664271e-08,4.240004779998419e-06,-5.379400386167624e-08,3.550404254870632e-06
gradinput,0.05,fixed_historical_q,66,0,0,82866,8,7,81672,3,1,1.764471311460606e-06,0.0001164551065564,-1.5778445381333333e-06,0.0001041377395168,6.424249666664271e-08,4.240004779998419e-06,-5.379400386167624e-08,3.550404254870632e-06
gradinput,0.05,recalibrated,66,0,0,82866,8,7,81672,3,1,1.764471311460606e-06,0.0001164551065564,-1.5778445381333333e-06,0.0001041377395168,6.424249666664271e-08,4.240004779998419e-06,-5.379400386167624e-08,3.550404254870632e-06
gradinput,0.1,fixed_current_machine_q,66,0,0,82866,2,2,81672,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradinput,0.1,fixed_historical_q,66,0,0,82866,2,2,81672,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradinput,0.1,recalibrated,66,0,0,82866,2,2,81672,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradinput,0.2,fixed_current_machine_q,66,0,0,82866,47,5,81672,18,5,6.765876005600081e-05,0.0044642857142857,-7.040774955836508e-05,0.0046428571428571,2.773020232458035e-05,0.001828231292517,-5.639510692890545e-06,0.0003736911431237
gradinput,0.2,fixed_historical_q,66,0,0,82866,47,5,81672,18,5,6.765876005600081e-05,0.0044642857142857,-7.040774955836508e-05,0.0046428571428571,2.773020232458035e-05,0.001828231292517,-5.639510692890545e-06,0.0003736911431237
gradinput,0.2,recalibrated,66,1,1,82866,37,5,81672,26,5,-0.00013526331786607647,0.0089285714285714,0.000131176219009294,0.0086616847826084,-3.721807690941511e-05,0.0024583551369267,3.55669640386943e-05,0.0023459361891609
ig,0.05,fixed_current_machine_q,66,0,0,82866,14,11,81672,9,3,1.2677142314395456e-05,0.0003323907367739,-4.733533614399999e-06,0.0001041377395168,-2.730907299554961e-06,7.371105170045356e-05,-3.955776056664189e-06,0.0001078053031246
ig,0.05,fixed_historical_q,66,0,0,82866,14,11,81672,9,3,1.2677142314395456e-05,0.0003323907367739,-4.733533614399999e-06,0.0001041377395168,-2.730907299554961e-06,7.371105170045356e-05,-3.955776056664189e-06,0.0001078053031246
ig,0.05,recalibrated,66,0,0,82866,14,11,81672,9,3,1.2677142314395456e-05,0.0003323907367739,-4.733533614399999e-06,0.0001041377395168,-2.730907299554961e-06,7.371105170045356e-05,-3.955776056664189e-06,0.0001078053031246
ig,0.1,fixed_current_machine_q,66,0,0,82866,25,3,81672,11,3,0.0,0.0,-7.783429335342372e-05,0.0051063829787234,4.157480278412476e-05,0.0027355623100304,3.984780637627459e-05,0.0026215805471124
ig,0.1,fixed_historical_q,66,0,0,82866,25,3,81672,11,3,0.0,0.0,-7.783429335342372e-05,0.0051063829787234,4.157480278412476e-05,0.0027355623100304,3.984780637627459e-05,0.0026215805471124
ig,0.1,recalibrated,66,1,1,82866,23,3,81672,12,3,-6.447453255963789e-05,0.0042553191489361,0.00010991274221970052,0.0072849213691028,-3.3488038236161614e-05,0.0022185851973085,-1.6555332715449657e-05,0.0011010266329414
ig,0.2,fixed_current_machine_q,66,0,0,82866,78,4,81672,86,4,6.913479135701061e-05,0.0045628962295627,-6.304423912096527e-05,0.0041541541541534,5.285408449796686e-05,0.0034856284856286,5.6235785961443485e-06,0.0003684198128643
ig,0.2,fixed_historical_q,66,0,0,82866,78,4,81672,86,4,6.913479135701061e-05,0.0045628962295627,-6.304423912096527e-05,0.0041541541541534,5.285408449796686e-05,0.0034856284856286,5.6235785961443485e-06,0.0003684198128643
ig,0.2,recalibrated,66,1,1,82866,34,4,81672,29,4,-3.2861143972254545e-05,0.0021688355021688,2.4240652085483217e-05,0.0016066486654722,-1.772515274793617e-05,0.001172601172601,8.653968831923136e-06,0.0005684255684257
saliency,0.05,fixed_current_machine_q,66,0,0,82866,212,4,81672,203,4,3.812735294216667e-05,0.002516405294183,-0.0001220728602646769,0.007927927927931,9.268054737661355e-05,0.0060679727346406,7.083225552199991e-05,0.0046259992854434
saliency,0.05,fixed_historical_q,66,0,0,82866,212,4,81672,203,4,3.812735294216667e-05,0.002516405294183,-0.0001220728602646769,0.007927927927931,9.268054737661355e-05,0.0060679727346406,7.083225552199991e-05,0.0046259992854434
saliency,0.05,recalibrated,66,0,0,82866,212,4,81672,203,4,3.812735294216667e-05,0.002516405294183,-0.0001220728602646769,0.007927927927931,9.268054737661355e-05,0.0060679727346406,7.083225552199991e-05,0.0046259992854434
saliency,0.1,fixed_current_machine_q,66,0,0,82866,481,6,81672,452,7,0.00012334572886966102,0.0029956004140786,-0.00021058052644768065,0.0051630434782607,6.971663332961569e-05,0.001475155279503,3.309981406343463e-05,0.0008642496853812
saliency,0.1,fixed_historical_q,66,0,0,82866,481,6,81672,452,7,0.00012334572886966102,0.0029956004140786,-0.00021058052644768065,0.0051630434782607,6.971663332961569e-05,0.001475155279503,3.309981406343463e-05,0.0008642496853812
saliency,0.1,recalibrated,66,2,1,82866,952,6,81672,918,7,-0.00013361193588501627,0.0072799966681938,0.00019270097510359967,0.0091769246243366,-3.0191801025758554e-05,0.0027365182416334,-2.088043988256289e-05,0.0023071431529837
saliency,0.2,fixed_current_machine_q,66,0,0,82866,243,8,81672,212,8,0.0003004040883096014,0.0052083333333332,-0.000311278323302516,0.0049107142857139,9.769564242976254e-05,0.0036286286286285,-4.6324913405088604e-05,0.0018077516094155
saliency,0.2,fixed_historical_q,66,0,0,82866,243,8,81672,212,8,0.0003004040883096014,0.0052083333333332,-0.000311278323302516,0.0049107142857139,9.769564242976254e-05,0.0036286286286285,-4.6324913405088604e-05,0.0018077516094155
saliency,0.2,recalibrated,66,2,1,82866,532,8,81672,531,8,1.6619305699827144e-05,0.00625,3.678715618305518e-05,0.0086616847826084,-2.6727999042295038e-05,0.0042702337345195,-4.234467885303406e-05,0.0018077516094155
