cell_id,family,task,model,seed,method,score_origin,alpha,q,risk,mean_atom_fraction,precision,iou
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_historical,0.05,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_historical,0.1,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_historical,0.2,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_historical,0.05,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_historical,0.1,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_historical,0.2,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_historical,0.05,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_historical,0.1,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_historical,0.2,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,P20_historical,0.05,20,0.0275229357798165,0.2153567335816146,0.1825219397342451,0.1825219397342451
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,P20_historical,0.1,5,0.091743119266055,0.0690404773475921,0.5037461773700306,0.5037461773700306
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,P20_historical,0.2,1,0.1697247706422018,0.0386003571497199,0.8348623853211009,0.8211009174311926
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,P01_historical,0.05,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,P01_historical,0.1,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,P01_historical,0.2,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,gradinput,P01_historical,0.05,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,gradinput,P01_historical,0.1,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,gradinput,P01_historical,0.2,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,atom_occlusion,P20_historical,0.05,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,atom_occlusion,P20_historical,0.1,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,atom_occlusion,P20_historical,0.2,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,P20_historical,0.05,26,0.0458715596330275,0.2789442424776348,0.1366082084515617,0.1366082084515617
