cell_id,family,task,model,seed,method,score_origin,alpha,historical_q,current_q,q_change,delta_risk,delta_mean_atom_fraction,delta_precision,delta_iou
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,0.05,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,0.1,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,0.2,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,0.05,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,0.1,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,0.2,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,0.05,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,0.1,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,0.2,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,P20_frozen_cache,0.05,20,20,0,0.0,0.0,0.0,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,P20_frozen_cache,0.1,5,5,0,0.0,0.0,0.0,0.0
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,P20_frozen_cache,0.2,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,P01_checkpoint_rerun,0.05,1,1,0,0.0,0.0,0.0,0.0
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,P01_checkpoint_rerun,0.1,1,1,0,0.0,0.0,0.0,0.0
