method,score_origin,alpha,cells,q_changed_cells,mean_delta_risk,max_abs_delta_risk,mean_delta_mean_atom_fraction,max_abs_delta_mean_atom_fraction,mean_delta_precision,max_abs_delta_precision,mean_delta_iou,max_abs_delta_iou
atom_occlusion,P20_frozen_cache,0.05,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atom_occlusion,P20_frozen_cache,0.1,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atom_occlusion,P20_frozen_cache,0.2,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gradinput,P01_checkpoint_rerun,0.05,66,0,8.82582818425915e-07,5.5297500553129486e-05,1.4088057320054068e-16,1.1324274851176595e-14,-1.8972426965790265e-07,1.1059500111820776e-05,-2.221739930279568e-07,1.257706309659712e-05
gradinput,P01_checkpoint_rerun,0.1,66,0,-1.2256268314416997e-06,0.0001456710367977,4.003321243529992e-15,3.3528735343679734e-14,1.0548791394480206e-06,2.896535743213136e-05,1.3503099425019291e-06,3.8181607524279126e-05
gradinput,P01_checkpoint_rerun,0.2,66,0,-5.942237501193847e-06,0.0003041362530413,1.5075272680019052e-15,3.419486915845482e-14,8.949284622574346e-07,3.041362530442626e-05,9.730236674254151e-07,3.2357668883847834e-05
ig,P01_checkpoint_rerun,0.05,66,0,8.19692738820476e-07,0.0001093972213105,2.2772188175550087e-16,1.887379141862766e-14,-2.0656049993231146e-07,2.489729864324497e-05,-2.582102964616762e-07,3.0354240811547584e-05
ig,P01_checkpoint_rerun,0.1,66,1,-0.00010762389315875836,0.0070988638335981,0.00012950776456881435,0.0085475124613694,-8.99733647834276e-06,0.0005952931670018,9.03137911132849e-06,0.0005943703803831
ig,P01_checkpoint_rerun,0.2,66,0,9.919806194814924e-07,0.0001164551065565,2.0061814162781475e-15,3.419486915845482e-14,-3.441445730376501e-07,3.8001140034216174e-05,-4.5748829935465807e-07,4.594683295044977e-05
saliency,P20_frozen_cache,0.05,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saliency,P20_frozen_cache,0.1,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saliency,P20_frozen_cache,0.2,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
