method,score_origin,grid,alpha,cells,tasks,risk,mean_atom_fraction,precision,iou,risk_pass,size_pass,joint_pass
atom_occlusion,P20_frozen_cache,exact_integer,0.05,66,11,0.04041725029098058,0.5718616638645252,0.5545868479677961,0.5342593217836238,58,40,34
atom_occlusion,P20_frozen_cache,exact_integer,0.1,66,11,0.08754712211251124,0.49512071724234796,0.6225559059704223,0.5777603481150902,50,51,35
atom_occlusion,P20_frozen_cache,exact_integer,0.2,66,11,0.16994193420297005,0.3968223899289216,0.6894851494095391,0.6003213661399973,58,59,51
atom_occlusion,P20_frozen_cache,machine,0.05,66,11,0.04041725029098058,0.5719261383970848,0.5545004981474038,0.5341729719632314,58,40,34
atom_occlusion,P20_frozen_cache,machine,0.1,66,11,0.08747426745617254,0.4952040667470948,0.6225122463418625,0.5777684645046833,50,51,35
atom_occlusion,P20_frozen_cache,machine,0.2,66,11,0.16995897808065527,0.39689127380300043,0.689523900106468,0.6003468676362028,58,59,51
gradinput,P01_checkpoint_rerun,exact_integer,0.05,66,11,0.03742141069764504,0.697513810313342,0.48904937237580665,0.47346094417487433,60,21,18
gradinput,P01_checkpoint_rerun,exact_integer,0.1,66,11,0.08452078087073871,0.653399757724894,0.5258053961590496,0.49315755426313784,55,24,15
gradinput,P01_checkpoint_rerun,exact_integer,0.2,66,11,0.16530602835075825,0.5721349025804026,0.5572847574126444,0.49831501521545896,59,34,30
gradinput,P01_checkpoint_rerun,machine,0.05,66,11,0.03741964622633358,0.6975153881578803,0.48904930813330993,0.4734609979688782,60,21,18
gradinput,P01_checkpoint_rerun,machine,0.1,66,11,0.08452078087073871,0.653399757724894,0.5258053961590496,0.49315755426313784,55,24,15
gradinput,P01_checkpoint_rerun,machine,0.2,66,11,0.16544129166862434,0.5720037263613933,0.5573219754895539,0.49827944825142034,59,34,30
ig,P01_checkpoint_rerun,exact_integer,0.05,66,11,0.04191294455289432,0.6567822132027558,0.502685835666529,0.485475178998138,58,28,23
ig,P01_checkpoint_rerun,exact_integer,0.1,66,11,0.08702993219357232,0.5943682242756797,0.5505002523513026,0.5145891553561325,52,39,26
ig,P01_checkpoint_rerun,exact_integer,0.2,66,11,0.17032388480780866,0.4898841302354473,0.5987905876492579,0.5300696811296344,57,55,48
ig,P01_checkpoint_rerun,machine,0.05,66,11,0.04190026741057993,0.6567869467363703,0.5026885665738287,0.48547913477419463,58,28,23
ig,P01_checkpoint_rerun,machine,0.1,66,11,0.08709440672613195,0.59425831153346,0.5505337403895388,0.5146057106888479,52,39,26
ig,P01_checkpoint_rerun,machine,0.2,66,11,0.1703567459517809,0.48985988958336174,0.5988083128020059,0.5300610271608025,57,55,48
saliency,P20_frozen_cache,exact_integer,0.05,66,11,0.039354479235442656,0.675261449627389,0.3998432086535072,0.3902138858962475,57,28,21
saliency,P20_frozen_cache,exact_integer,0.1,66,11,0.08773069685176742,0.603769975387417,0.46455983126745415,0.44112989706411015,54,41,33
saliency,P20_frozen_cache,exact_integer,0.2,66,11,0.17874843236688537,0.5086097331389791,0.5166637420512434,0.4646278378847359,48,54,40
saliency,P20_frozen_cache,machine,0.05,66,11,0.039316351882500496,0.6753835224876537,0.39975052810613065,0.39014305364072555,58,28,22
saliency,P20_frozen_cache,machine,0.1,66,11,0.08786430878765243,0.6035772744123133,0.46459002306848,0.4411507775039926,54,41,33
saliency,P20_frozen_cache,machine,0.2,66,11,0.17873181306118557,0.508572945982796,0.5166904700502857,0.464670182563589,48,54,40
