grid,alpha,left,right,metric,mean_delta,q025,q975,negative_cells,positive_cells,ties,interval_scope
exact_integer,0.05,ig,gradinput,risk,0.004491533855249292,0.0020181545237246126,0.007622089733206093,16,35,15,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,ig,gradinput,mean_atom_fraction,-0.04073159711058639,-0.06911104986000888,-0.017720661164576892,32,7,27,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,ig,gradinput,precision,0.013636463290722434,0.006366133518402536,0.02275458792874042,12,39,15,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,ig,gradinput,iou,0.012014234823263803,0.0054715807634677805,0.02045525122607461,11,40,15,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,ig,atom_occlusion,risk,0.0014956942619137581,2.360656949832023e-06,0.0031352384937873906,21,28,17,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,ig,atom_occlusion,mean_atom_fraction,0.08492054933823062,0.04036106723056934,0.13676550783672706,4,37,25,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,ig,atom_occlusion,precision,-0.05190101230126709,-0.08996679515707133,-0.021113017692960086,40,9,17,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,ig,atom_occlusion,iou,-0.048784142785485735,-0.08383764059967042,-0.02017924604412868,39,10,17,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,ig,saliency,risk,0.002558465317451673,-0.0016383729115134918,0.00754113911259428,25,41,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,ig,saliency,mean_atom_fraction,-0.01847923642463317,-0.07667653204921109,0.037491885977071975,30,30,6,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,ig,saliency,precision,0.10284262701302184,-0.014854879965926491,0.24685016527319337,31,35,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,ig,saliency,iou,0.09526129310189052,-0.014196469810108683,0.23178605359040003,31,35,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,gradinput,atom_occlusion,risk,-0.002995839593335535,-0.006069275335809156,-0.0003912603946943297,28,23,15,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,gradinput,atom_occlusion,mean_atom_fraction,0.12565214644881703,0.05807913652497543,0.20449705799200388,2,41,23,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,gradinput,atom_occlusion,precision,-0.06553747559198952,-0.11191315472951585,-0.028547437566467073,48,3,15,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,gradinput,atom_occlusion,iou,-0.06079837760874953,-0.10354662064752507,-0.026121411546597015,49,2,15,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,gradinput,saliency,risk,-0.00193306853779762,-0.005552655975394165,0.002218416705471281,31,35,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,gradinput,saliency,mean_atom_fraction,0.022252360685953224,-0.0419700222576104,0.08545090927527016,27,34,5,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,gradinput,saliency,precision,0.0892061637222994,-0.031784604563982854,0.23734769696882535,36,30,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,gradinput,saliency,iou,0.08324705827862672,-0.029005472390700147,0.22266045962500372,38,28,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,atom_occlusion,saliency,risk,0.0010627710555379147,-0.0027953874885791497,0.005328643086201794,26,40,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,atom_occlusion,saliency,mean_atom_fraction,-0.10339978576286378,-0.1701451166680852,-0.04423281079126852,51,9,6,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,atom_occlusion,saliency,precision,0.15474363931428894,0.04980381570254245,0.28294485227568067,12,54,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.05,atom_occlusion,saliency,iou,0.14404543588737623,0.04619698852736814,0.2675255103380704,9,57,0,descriptive 11 observed tasks from two dependent families
machine,0.05,ig,gradinput,risk,0.004480621184246352,0.0020074754754535098,0.007619235226955463,17,34,15,descriptive 11 observed tasks from two dependent families
machine,0.05,ig,gradinput,mean_atom_fraction,-0.04072844142151012,-0.0691078941709326,-0.017717505475500626,32,7,27,descriptive 11 observed tasks from two dependent families
machine,0.05,ig,gradinput,precision,0.013639258440518654,0.006379829752404012,0.02275458792874042,12,39,15,descriptive 11 observed tasks from two dependent families
machine,0.05,ig,gradinput,iou,0.012018136805316606,0.005479384727573387,0.02045534877562593,11,40,15,descriptive 11 observed tasks from two dependent families
machine,0.05,ig,atom_occlusion,risk,0.0014830171195993579,2.360656949832023e-06,0.0031145919783741476,21,28,17,descriptive 11 observed tasks from two dependent families
machine,0.05,ig,atom_occlusion,mean_atom_fraction,0.08486080833928539,0.04036568242584338,0.1367656261750674,4,37,25,descriptive 11 observed tasks from two dependent families
machine,0.05,ig,atom_occlusion,precision,-0.05181193157357516,-0.08988881013622892,-0.021107419332996005,40,9,17,descriptive 11 observed tasks from two dependent families
machine,0.05,ig,atom_occlusion,iou,-0.04869383718903668,-0.08383744281086758,-0.020089215931950857,39,10,17,descriptive 11 observed tasks from two dependent families
machine,0.05,ig,saliency,risk,0.002583915528079441,-0.0016252744492305296,0.00754441802268793,24,42,0,descriptive 11 observed tasks from two dependent families
machine,0.05,ig,saliency,mean_atom_fraction,-0.01859657575128345,-0.07667108979340592,0.037062680229508795,30,30,6,descriptive 11 observed tasks from two dependent families
machine,0.05,ig,saliency,precision,0.10293803846769801,-0.014568661574451868,0.2468569199440606,31,35,0,descriptive 11 observed tasks from two dependent families
machine,0.05,ig,saliency,iou,0.09533608113346918,-0.014118627931028622,0.23178629625562824,31,35,0,descriptive 11 observed tasks from two dependent families
machine,0.05,gradinput,atom_occlusion,risk,-0.0029976040646469957,-0.006069275335809156,-0.00039483344910003736,28,23,15,descriptive 11 observed tasks from two dependent families
machine,0.05,gradinput,atom_occlusion,mean_atom_fraction,0.12558924976079552,0.05801627928306738,0.20431000838269156,2,41,23,descriptive 11 observed tasks from two dependent families
machine,0.05,gradinput,atom_occlusion,precision,-0.06545119001409382,-0.11182471201217276,-0.028545341457391526,48,3,15,descriptive 11 observed tasks from two dependent families
machine,0.05,gradinput,atom_occlusion,iou,-0.060711973994353303,-0.10346242822779238,-0.026116444394340316,49,2,15,descriptive 11 observed tasks from two dependent families
machine,0.05,gradinput,saliency,risk,-0.0018967056561669125,-0.005521387324647332,0.0022508454353720535,31,35,0,descriptive 11 observed tasks from two dependent families
machine,0.05,gradinput,saliency,mean_atom_fraction,0.022131865670226684,-0.04197006045497455,0.08509068373534232,27,34,5,descriptive 11 observed tasks from two dependent families
machine,0.05,gradinput,saliency,precision,0.08929878002717935,-0.03168511820334785,0.2373490010975899,36,30,0,descriptive 11 observed tasks from two dependent families
machine,0.05,gradinput,saliency,iou,0.08331794432815258,-0.028932058796237645,0.22266202160705612,38,28,0,descriptive 11 observed tasks from two dependent families
machine,0.05,atom_occlusion,saliency,risk,0.0011008984084800828,-0.0027573539538112615,0.005388448912767239,26,40,0,descriptive 11 observed tasks from two dependent families
machine,0.05,atom_occlusion,saliency,mean_atom_fraction,-0.10345738409056882,-0.16995613843578114,-0.04435030565411283,51,9,6,descriptive 11 observed tasks from two dependent families
machine,0.05,atom_occlusion,saliency,precision,0.15474997004127317,0.04989964720682301,0.28312197454278526,12,54,0,descriptive 11 observed tasks from two dependent families
machine,0.05,atom_occlusion,saliency,iou,0.14402991832250586,0.04625021606135865,0.2673556840354747,9,57,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,gradinput,risk,0.00250915132283361,0.00031608645682490867,0.005201203701005714,20,32,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,gradinput,mean_atom_fraction,-0.05903153344921437,-0.10171815657490392,-0.02462904289888585,35,10,21,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,gradinput,precision,0.024694856192252954,0.011655969682213087,0.04124995351218426,13,39,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,gradinput,iou,0.02143160109299451,0.009818933378161764,0.03657931719510188,11,41,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,atom_occlusion,risk,-0.0005171899189389432,-0.0029265354181253435,0.0022466112338883648,25,27,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,atom_occlusion,mean_atom_fraction,0.0992475070333318,0.05310525091306964,0.14777605346046882,4,40,22,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,atom_occlusion,precision,-0.07205565361911975,-0.11562616891892934,-0.03409205768664709,44,8,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,atom_occlusion,iou,-0.06317119275895788,-0.10084525644682325,-0.031020990902942597,43,9,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,saliency,risk,-0.0007007646581951066,-0.012656846847996995,0.010001339141330275,27,39,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,saliency,mean_atom_fraction,-0.009401751111737182,-0.08031713648419635,0.05058312735265575,28,30,8,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,saliency,precision,0.0859404210838484,-0.01614381256559633,0.19521800938374284,32,34,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,ig,saliency,iou,0.07345925829202228,-0.014149799098082715,0.16626792098448406,32,34,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,gradinput,atom_occlusion,risk,-0.0030263412417725535,-0.006621435773515583,0.0005026743411531355,32,20,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,gradinput,atom_occlusion,mean_atom_fraction,0.15827904048254615,0.08154960627484772,0.2445524999046986,0,43,23,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,gradinput,atom_occlusion,precision,-0.09675050981137269,-0.15705854605050326,-0.047407468346766596,50,2,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,gradinput,atom_occlusion,iou,-0.0846027938519524,-0.13643346959081037,-0.04113538788440329,51,1,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,gradinput,saliency,risk,-0.003209915981028716,-0.01440303433748834,0.005908229456762651,36,30,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,gradinput,saliency,mean_atom_fraction,0.049629782337477175,-0.014280876933470488,0.11340516080361922,27,32,7,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,gradinput,saliency,precision,0.06124556489159543,-0.048977561627918734,0.17482185827656835,34,32,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,gradinput,saliency,iou,0.05202765719902779,-0.04212570426879197,0.1486518906243611,34,32,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,atom_occlusion,saliency,risk,-0.00018357473925616254,-0.012298533337832004,0.010784430984666311,27,39,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,atom_occlusion,saliency,mean_atom_fraction,-0.10864925814506897,-0.18969200103285114,-0.04134541069348848,52,7,7,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,atom_occlusion,saliency,precision,0.15799607470296814,0.07218302472772664,0.2515333216467697,7,59,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.1,atom_occlusion,saliency,iou,0.13663045105098015,0.06380009189846754,0.21675585270528103,10,56,0,descriptive 11 observed tasks from two dependent families
machine,0.1,ig,gradinput,risk,0.0025736258553932492,0.00031608645682490867,0.0053711572233404595,20,32,14,descriptive 11 observed tasks from two dependent families
machine,0.1,ig,gradinput,mean_atom_fraction,-0.05914144619143407,-0.10204558859457531,-0.02462904289888585,35,10,21,descriptive 11 observed tasks from two dependent families
