method,score_origin,grid,alpha,family,task,risk,mean_atom_fraction,precision,iou
atom_occlusion,P20_frozen_cache,exact_integer,0.05,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
atom_occlusion,P20_frozen_cache,exact_integer,0.05,bxaic,P,0.0423878015155905,0.056013472476178904,0.7105022850712505,0.6681144835556599
atom_occlusion,P20_frozen_cache,exact_integer,0.05,bxaic,PAINS,0.0475896096449459,0.8603601822615482,0.3785010864203977,0.37030486379953564
atom_occlusion,P20_frozen_cache,exact_integer,0.05,bxaic,X,0.047223909644178864,0.0880659152983928,0.6165941196332093,0.5694781076429966
atom_occlusion,P20_frozen_cache,exact_integer,0.05,bxaic,indole,0.043252105773537185,0.5648563998765704,0.5423315402321045,0.5229520576170849
atom_occlusion,P20_frozen_cache,exact_integer,0.05,bxaic,rings-count,0.04463779309416333,0.9555462115815563,0.6432465948861871,0.627037414836126
atom_occlusion,P20_frozen_cache,exact_integer,0.05,bxaic,rings-max,0.03764506651566072,0.8922783223760593,0.2898337067899117,0.2862573138871643
atom_occlusion,P20_frozen_cache,exact_integer,0.05,google,benzene,0.05180799185428812,0.5484279363321717,0.6312359266062959,0.5995798212682867
atom_occlusion,P20_frozen_cache,exact_integer,0.05,google,logic10,0.04418399061256199,0.7541510887695213,0.6272880609030613,0.6091241401572507
atom_occlusion,P20_frozen_cache,exact_integer,0.05,google,logic7,0.019338905775075934,0.6880098814456549,0.32200274604142926,0.3191568965132494
atom_occlusion,P20_frozen_cache,exact_integer,0.05,google,logic8,0.03747059100319967,0.8441685349424031,0.348093572988516,0.34307374003669694
atom_occlusion,P20_frozen_cache,exact_integer,0.1,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
atom_occlusion,P20_frozen_cache,exact_integer,0.1,bxaic,P,0.11028737228718782,0.0365457382575857,0.9606844305120169,0.8509195242645365
atom_occlusion,P20_frozen_cache,exact_integer,0.1,bxaic,PAINS,0.09834954325193625,0.7249419547009753,0.42806682964792125,0.4062996807596296
atom_occlusion,P20_frozen_cache,exact_integer,0.1,bxaic,X,0.09220748540380029,0.0681479369393903,0.7273336829325486,0.6353033768342092
atom_occlusion,P20_frozen_cache,exact_integer,0.1,bxaic,indole,0.0920018621866222,0.46546959682974093,0.620585369220822,0.5722016932123768
atom_occlusion,P20_frozen_cache,exact_integer,0.1,bxaic,rings-count,0.09576849449569746,0.9076153829854486,0.6436545619953283,0.6086081160105118
atom_occlusion,P20_frozen_cache,exact_integer,0.1,bxaic,rings-max,0.08045148782154381,0.8007656343310717,0.30832980274418137,0.30015289286995245
atom_occlusion,P20_frozen_cache,exact_integer,0.1,google,benzene,0.10483552335404184,0.45340074185816176,0.7057683705831862,0.63489943816168
atom_occlusion,P20_frozen_cache,exact_integer,0.1,google,logic10,0.10120578825935955,0.6343258669777998,0.698075836176545,0.6466988768233031
atom_occlusion,P20_frozen_cache,exact_integer,0.1,google,logic7,0.07294410672070241,0.5916722539408291,0.3806020024297197,0.36806353829713984
atom_occlusion,P20_frozen_cache,exact_integer,0.1,google,logic8,0.0859146916891481,0.7248424256951038,0.3841883913589814,0.3704429917268431
atom_occlusion,P20_frozen_cache,exact_integer,0.2,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
atom_occlusion,P20_frozen_cache,exact_integer,0.2,bxaic,P,0.1266319679767033,0.0347549874610955,0.9924242424242423,0.8663147404872463
atom_occlusion,P20_frozen_cache,exact_integer,0.2,bxaic,PAINS,0.19518358099115826,0.5445570026345429,0.517644050185703,0.4539724465852522
atom_occlusion,P20_frozen_cache,exact_integer,0.2,bxaic,X,0.19835279493323477,0.0432521799187035,0.92406980864635,0.7259532527870568
atom_occlusion,P20_frozen_cache,exact_integer,0.2,bxaic,indole,0.18684161798784615,0.3599791421352309,0.7022935702959932,0.5901582188768547
atom_occlusion,P20_frozen_cache,exact_integer,0.2,bxaic,rings-count,0.19257469062033805,0.819938235347048,0.6395726792124362,0.566501285041657
atom_occlusion,P20_frozen_cache,exact_integer,0.2,bxaic,rings-max,0.17383002332345684,0.6472948349630182,0.3424209294855303,0.3209459104008348
atom_occlusion,P20_frozen_cache,exact_integer,0.2,google,benzene,0.20838543570025025,0.33585299776926275,0.816446803946805,0.6637268433772561
atom_occlusion,P20_frozen_cache,exact_integer,0.2,google,logic10,0.19771537985823695,0.5027398345701917,0.7805820543543756,0.6568019157717785
atom_occlusion,P20_frozen_cache,exact_integer,0.2,google,logic7,0.1787318473488686,0.48037108620992086,0.4321896041310935,0.3892990458973431
atom_occlusion,P20_frozen_cache,exact_integer,0.2,google,logic8,0.18206194972499304,0.557705631059404,0.4458672127490062,0.40808766800888047
atom_occlusion,P20_frozen_cache,machine,0.05,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
atom_occlusion,P20_frozen_cache,machine,0.05,bxaic,P,0.0423878015155905,0.056013472476178904,0.7105022850712505,0.6681144835556599
atom_occlusion,P20_frozen_cache,machine,0.05,bxaic,PAINS,0.0475896096449459,0.8603601822615482,0.3785010864203977,0.37030486379953564
atom_occlusion,P20_frozen_cache,machine,0.05,bxaic,X,0.047223909644178864,0.0880659152983928,0.6165941196332093,0.5694781076429966
atom_occlusion,P20_frozen_cache,machine,0.05,bxaic,indole,0.043252105773537185,0.5648563998765704,0.5423315402321045,0.5229520576170849
atom_occlusion,P20_frozen_cache,machine,0.05,bxaic,rings-count,0.04463779309416333,0.9555462115815563,0.6432465948861871,0.627037414836126
atom_occlusion,P20_frozen_cache,machine,0.05,bxaic,rings-max,0.03764506651566072,0.8922783223760593,0.2898337067899117,0.2862573138871643
atom_occlusion,P20_frozen_cache,machine,0.05,google,benzene,0.05180799185428812,0.5484279363321717,0.6312359266062959,0.5995798212682867
atom_occlusion,P20_frozen_cache,machine,0.05,google,logic10,0.04418399061256199,0.7541510887695213,0.6272880609030613,0.6091241401572507
atom_occlusion,P20_frozen_cache,machine,0.05,google,logic7,0.019338905775075934,0.688719101303811,0.3210528980171132,0.3182070484889333
atom_occlusion,P20_frozen_cache,machine,0.05,google,logic8,0.03747059100319967,0.8441685349424031,0.348093572988516,0.34307374003669694
atom_occlusion,P20_frozen_cache,machine,0.1,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
atom_occlusion,P20_frozen_cache,machine,0.1,bxaic,P,0.11028737228718782,0.0365457382575857,0.9606844305120169,0.8509195242645365
atom_occlusion,P20_frozen_cache,machine,0.1,bxaic,PAINS,0.09818342184994826,0.7252562288291186,0.42787927760357714,0.40618866708139917
atom_occlusion,P20_frozen_cache,machine,0.1,bxaic,X,0.09220748540380029,0.0681479369393903,0.7273336829325486,0.6353033768342092
atom_occlusion,P20_frozen_cache,machine,0.1,bxaic,indole,0.09136658236888433,0.4660721672538127,0.6202926653510085,0.5724019871761318
atom_occlusion,P20_frozen_cache,machine,0.1,bxaic,rings-count,0.09576849449569746,0.9076153829854486,0.6436545619953283,0.6086081160105118
atom_occlusion,P20_frozen_cache,machine,0.1,bxaic,rings-max,0.08045148782154381,0.8007656343310717,0.30832980274418137,0.30015289286995245
atom_occlusion,P20_frozen_cache,machine,0.1,google,benzene,0.10483552335404184,0.45340074185816176,0.7057683705831862,0.63489943816168
atom_occlusion,P20_frozen_cache,machine,0.1,google,logic10,0.10120578825935955,0.6343258669777998,0.698075836176545,0.6466988768233031
atom_occlusion,P20_frozen_cache,machine,0.1,google,logic7,0.07294410672070241,0.5916722539408291,0.3806020024297197,0.36806353829713984
atom_occlusion,P20_frozen_cache,machine,0.1,google,logic8,0.0859146916891481,0.7248424256951038,0.3841883913589814,0.3704429917268431
atom_occlusion,P20_frozen_cache,machine,0.2,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
atom_occlusion,P20_frozen_cache,machine,0.2,bxaic,P,0.1266319679767033,0.0347549874610955,0.9924242424242423,0.8663147404872463
atom_occlusion,P20_frozen_cache,machine,0.2,bxaic,PAINS,0.19518358099115826,0.5445570026345429,0.517644050185703,0.4539724465852522
atom_occlusion,P20_frozen_cache,machine,0.2,bxaic,X,0.19835279493323477,0.0432521799187035,0.92406980864635,0.7259532527870568
atom_occlusion,P20_frozen_cache,machine,0.2,bxaic,indole,0.18684161798784615,0.3599791421352309,0.7022935702959932,0.5901582188768547
atom_occlusion,P20_frozen_cache,machine,0.2,bxaic,rings-count,0.19257469062033805,0.8199385732077142,0.6395723942999131,0.5665010071803442
atom_occlusion,P20_frozen_cache,machine,0.2,bxaic,rings-max,0.17356260789358655,0.647869408387321,0.34223782564634564,0.320811654002445
atom_occlusion,P20_frozen_cache,machine,0.2,google,benzene,0.20838543570025025,0.33585299776926275,0.816446803946805,0.6637268433772561
atom_occlusion,P20_frozen_cache,machine,0.2,google,logic10,0.19771537985823695,0.5027398345701917,0.7805820543543756,0.6568019157717785
atom_occlusion,P20_frozen_cache,machine,0.2,google,logic7,0.18012495778453222,0.47910462217749944,0.4333125355731739,0.39002515194259807
atom_occlusion,P20_frozen_cache,machine,0.2,google,logic8,0.18112373737373724,0.5591549064217227,0.44535392772485166,0.4077766126815881
gradinput,P01_checkpoint_rerun,exact_integer,0.05,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
gradinput,P01_checkpoint_rerun,exact_integer,0.05,bxaic,P,0.0423878015155905,0.056013472476178904,0.7105022850712505,0.6681144835556599
gradinput,P01_checkpoint_rerun,exact_integer,0.05,bxaic,PAINS,0.040667712835332284,0.9686964295471171,0.3413636064629908,0.3374128054294681
gradinput,P01_checkpoint_rerun,exact_integer,0.05,bxaic,X,0.047744526190663605,0.08944166967416363,0.6072373296357646,0.5623180561906248
gradinput,P01_checkpoint_rerun,exact_integer,0.05,bxaic,indole,0.04339595702278488,0.9586474394972838,0.3156964904053262,0.3121895100594699
gradinput,P01_checkpoint_rerun,exact_integer,0.05,bxaic,rings-count,0.0445906631465928,0.9555462115815563,0.6418269550253771,0.6239074916501589
gradinput,P01_checkpoint_rerun,exact_integer,0.05,bxaic,rings-max,0.041098570862434035,0.9625102918257363,0.2686725353215671,0.2656398896013819
gradinput,P01_checkpoint_rerun,exact_integer,0.05,google,benzene,0.044128652461985746,0.7672361755074655,0.4854972858929756,0.4695167434696265
gradinput,P01_checkpoint_rerun,exact_integer,0.05,google,logic10,0.032462279783708296,0.9378594809499302,0.5124531523556353,0.5046488098099872
gradinput,P01_checkpoint_rerun,exact_integer,0.05,google,logic7,0.018853427895981035,0.9620495576581058,0.20110290617517182,0.20048394521770851
gradinput,P01_checkpoint_rerun,exact_integer,0.05,google,logic8,0.027253938191438135,0.9760508275795065,0.3043648617144195,0.3020649506337206
gradinput,P01_checkpoint_rerun,exact_integer,0.1,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
gradinput,P01_checkpoint_rerun,exact_integer,0.1,bxaic,P,0.11080983832689524,0.0365457382575857,0.9601619644723095,0.8503970582248291
gradinput,P01_checkpoint_rerun,exact_integer,0.1,bxaic,PAINS,0.09330825193809478,0.9299237908557743,0.3383756305755587,0.3286829139695886
gradinput,P01_checkpoint_rerun,exact_integer,0.1,bxaic,X,0.09119950858522811,0.0697426275418878,0.713245766016407,0.6262632384775397
gradinput,P01_checkpoint_rerun,exact_integer,0.1,bxaic,indole,0.09479930366277767,0.884610084445244,0.32590718694441984,0.31497053497817445
gradinput,P01_checkpoint_rerun,exact_integer,0.1,bxaic,rings-count,0.09218920421574549,0.9109092918436289,0.6410392399435464,0.603932627837135
gradinput,P01_checkpoint_rerun,exact_integer,0.1,bxaic,rings-max,0.09005012910592575,0.9232150528833379,0.2658495765832623,0.2591555909864118
gradinput,P01_checkpoint_rerun,exact_integer,0.1,google,benzene,0.10055223874668318,0.6883534131066608,0.5176037721823316,0.48143355405402777
gradinput,P01_checkpoint_rerun,exact_integer,0.1,google,logic10,0.0862532061192774,0.8747707360027573,0.5214138316696026,0.4981153063798402
gradinput,P01_checkpoint_rerun,exact_integer,0.1,google,logic7,0.0615332657885849,0.8969627883434902,0.20814124005217774,0.20568874380976462
gradinput,P01_checkpoint_rerun,exact_integer,0.1,google,logic8,0.07998165532132911,0.9337634545437478,0.30129546123653567,0.29431982787139493
gradinput,P01_checkpoint_rerun,exact_integer,0.2,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
gradinput,P01_checkpoint_rerun,exact_integer,0.2,bxaic,P,0.12715443401641074,0.0347549874610955,0.9919017763845349,0.8657922744475389
gradinput,P01_checkpoint_rerun,exact_integer,0.2,bxaic,PAINS,0.18955803644731936,0.8545519410733934,0.33350556811117954,0.3130428966545358
gradinput,P01_checkpoint_rerun,exact_integer,0.2,bxaic,X,0.19063928449559242,0.045550191970160143,0.8990949697695799,0.7138147264808311
gradinput,P01_checkpoint_rerun,exact_integer,0.2,bxaic,indole,0.19103274296605757,0.7088487257969508,0.3810417928610486,0.3460897172250193
gradinput,P01_checkpoint_rerun,exact_integer,0.2,bxaic,rings-count,0.19097416443500817,0.8221558426699448,0.6362889343359502,0.5591078253210263
gradinput,P01_checkpoint_rerun,exact_integer,0.2,bxaic,rings-max,0.18751967515376766,0.820384618908693,0.26725846287391025,0.252080796479091
gradinput,P01_checkpoint_rerun,exact_integer,0.2,google,benzene,0.19699742732150125,0.5654383591496405,0.5670375815316127,0.48953150183731803
gradinput,P01_checkpoint_rerun,exact_integer,0.2,google,logic10,0.18470311310713086,0.7598025117962924,0.5462477487442242,0.48718729892707224
gradinput,P01_checkpoint_rerun,exact_integer,0.2,google,logic7,0.1580504896994258,0.7981062693923092,0.21639452291207342,0.20841981676879703
gradinput,P01_checkpoint_rerun,exact_integer,0.2,google,logic8,0.17268495644854318,0.845290123016229,0.3005352859415796,0.28462461292300884
gradinput,P01_checkpoint_rerun,machine,0.05,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
gradinput,P01_checkpoint_rerun,machine,0.05,bxaic,P,0.0423878015155905,0.056013472476178904,0.7105022850712505,0.6681144835556599
gradinput,P01_checkpoint_rerun,machine,0.05,bxaic,PAINS,0.040667712835332284,0.9686964295471171,0.3413636064629908,0.3374128054294681
gradinput,P01_checkpoint_rerun,machine,0.05,bxaic,X,0.047744526190663605,0.08944166967416363,0.6072373296357646,0.5623180561906248
gradinput,P01_checkpoint_rerun,machine,0.05,bxaic,indole,0.04339595702278488,0.9586474394972838,0.3156964904053262,0.3121895100594699
gradinput,P01_checkpoint_rerun,machine,0.05,bxaic,rings-count,0.0445906631465928,0.9555462115815563,0.6418269550253771,0.6239074916501589
gradinput,P01_checkpoint_rerun,machine,0.05,bxaic,rings-max,0.041079161678007965,0.9625276481156558,0.2686718286541038,0.26564048133542434
gradinput,P01_checkpoint_rerun,machine,0.05,google,benzene,0.044128652461985746,0.7672361755074655,0.4854972858929756,0.4695167434696265
gradinput,P01_checkpoint_rerun,machine,0.05,google,logic10,0.032462279783708296,0.9378594809499302,0.5124531523556353,0.5046488098099872
gradinput,P01_checkpoint_rerun,machine,0.05,google,logic7,0.018853427895981035,0.9620495576581058,0.20110290617517182,0.20048394521770851
gradinput,P01_checkpoint_rerun,machine,0.05,google,logic8,0.027253938191438135,0.9760508275795065,0.3043648617144195,0.3020649506337206
gradinput,P01_checkpoint_rerun,machine,0.1,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
gradinput,P01_checkpoint_rerun,machine,0.1,bxaic,P,0.11080983832689524,0.0365457382575857,0.9601619644723095,0.8503970582248291
gradinput,P01_checkpoint_rerun,machine,0.1,bxaic,PAINS,0.09330825193809478,0.9299237908557743,0.3383756305755587,0.3286829139695886
gradinput,P01_checkpoint_rerun,machine,0.1,bxaic,X,0.09119950858522811,0.0697426275418878,0.713245766016407,0.6262632384775397
gradinput,P01_checkpoint_rerun,machine,0.1,bxaic,indole,0.09479930366277767,0.884610084445244,0.32590718694441984,0.31497053497817445
gradinput,P01_checkpoint_rerun,machine,0.1,bxaic,rings-count,0.09218920421574549,0.9109092918436289,0.6410392399435464,0.603932627837135
gradinput,P01_checkpoint_rerun,machine,0.1,bxaic,rings-max,0.09005012910592575,0.9232150528833379,0.2658495765832623,0.2591555909864118
gradinput,P01_checkpoint_rerun,machine,0.1,google,benzene,0.10055223874668318,0.6883534131066608,0.5176037721823316,0.48143355405402777
gradinput,P01_checkpoint_rerun,machine,0.1,google,logic10,0.0862532061192774,0.8747707360027573,0.5214138316696026,0.4981153063798402
gradinput,P01_checkpoint_rerun,machine,0.1,google,logic7,0.0615332657885849,0.8969627883434902,0.20814124005217774,0.20568874380976462
gradinput,P01_checkpoint_rerun,machine,0.1,google,logic8,0.07998165532132911,0.9337634545437478,0.30129546123653567,0.29431982787139493
gradinput,P01_checkpoint_rerun,machine,0.2,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
gradinput,P01_checkpoint_rerun,machine,0.2,bxaic,P,0.12715443401641074,0.0347549874610955,0.9919017763845349,0.8657922744475389
gradinput,P01_checkpoint_rerun,machine,0.2,bxaic,PAINS,0.18955803644731936,0.8545519410733934,0.33350556811117954,0.3130428966545358
gradinput,P01_checkpoint_rerun,machine,0.2,bxaic,X,0.19063928449559242,0.045550191970160143,0.8990949697695799,0.7138147264808311
gradinput,P01_checkpoint_rerun,machine,0.2,bxaic,indole,0.19103274296605757,0.7088487257969508,0.3810417928610486,0.3460897172250193
gradinput,P01_checkpoint_rerun,machine,0.2,bxaic,rings-count,0.19097396569343983,0.8221565183912772,0.6362886073257994,0.5591075780814609
gradinput,P01_checkpoint_rerun,machine,0.2,bxaic,rings-max,0.18751967515376766,0.820384618908693,0.26725846287391025,0.252080796479091
gradinput,P01_checkpoint_rerun,machine,0.2,google,benzene,0.19699742732150125,0.5654383591496405,0.5670375815316127,0.48953150183731803
gradinput,P01_checkpoint_rerun,machine,0.2,google,logic10,0.1861912083452261,0.7583588976658575,0.5466574746003786,0.4867963095622121
