grid,alpha,method,threshold,size_pass,risk_pass,joint_pass
exact_integer,0.05,atom_occlusion,0.5,24,58,24
exact_integer,0.05,atom_occlusion,0.6,30,58,26
exact_integer,0.05,atom_occlusion,0.7,33,58,29
exact_integer,0.05,atom_occlusion,0.8,40,58,34
exact_integer,0.05,atom_occlusion,0.9,54,58,47
exact_integer,0.05,gradinput,0.5,18,60,17
exact_integer,0.05,gradinput,0.6,20,60,17
exact_integer,0.05,gradinput,0.7,21,60,18
exact_integer,0.05,gradinput,0.8,21,60,18
exact_integer,0.05,gradinput,0.9,23,60,20
exact_integer,0.05,ig,0.5,18,58,18
exact_integer,0.05,ig,0.6,19,58,18
exact_integer,0.05,ig,0.7,22,58,19
exact_integer,0.05,ig,0.8,28,58,23
exact_integer,0.05,ig,0.9,38,58,32
exact_integer,0.05,saliency,0.5,18,57,14
exact_integer,0.05,saliency,0.6,23,57,17
exact_integer,0.05,saliency,0.7,25,57,19
exact_integer,0.05,saliency,0.8,28,57,21
exact_integer,0.05,saliency,0.9,40,57,33
machine,0.05,atom_occlusion,0.5,24,58,24
machine,0.05,atom_occlusion,0.6,30,58,26
machine,0.05,atom_occlusion,0.7,33,58,29
machine,0.05,atom_occlusion,0.8,40,58,34
machine,0.05,atom_occlusion,0.9,54,58,47
machine,0.05,gradinput,0.5,18,60,17
machine,0.05,gradinput,0.6,20,60,17
machine,0.05,gradinput,0.7,21,60,18
machine,0.05,gradinput,0.8,21,60,18
machine,0.05,gradinput,0.9,23,60,20
machine,0.05,ig,0.5,18,58,18
machine,0.05,ig,0.6,19,58,18
machine,0.05,ig,0.7,22,58,19
machine,0.05,ig,0.8,28,58,23
machine,0.05,ig,0.9,38,58,32
machine,0.05,saliency,0.5,18,58,14
machine,0.05,saliency,0.6,23,58,18
machine,0.05,saliency,0.7,25,58,20
machine,0.05,saliency,0.8,28,58,22
machine,0.05,saliency,0.9,40,58,34
exact_integer,0.1,atom_occlusion,0.5,30,50,18
exact_integer,0.1,atom_occlusion,0.6,34,50,22
exact_integer,0.1,atom_occlusion,0.7,43,50,28
exact_integer,0.1,atom_occlusion,0.8,51,50,35
exact_integer,0.1,atom_occlusion,0.9,59,50,43
exact_integer,0.1,gradinput,0.5,19,55,12
exact_integer,0.1,gradinput,0.6,21,55,12
exact_integer,0.1,gradinput,0.7,21,55,12
exact_integer,0.1,gradinput,0.8,24,55,15
exact_integer,0.1,gradinput,0.9,33,55,23
exact_integer,0.1,ig,0.5,19,52,12
exact_integer,0.1,ig,0.6,24,52,15
exact_integer,0.1,ig,0.7,31,52,20
exact_integer,0.1,ig,0.8,39,52,26
exact_integer,0.1,ig,0.9,51,52,37
exact_integer,0.1,saliency,0.5,23,54,16
exact_integer,0.1,saliency,0.6,25,54,18
exact_integer,0.1,saliency,0.7,29,54,22
exact_integer,0.1,saliency,0.8,41,54,33
exact_integer,0.1,saliency,0.9,55,54,44
machine,0.1,atom_occlusion,0.5,30,50,18
machine,0.1,atom_occlusion,0.6,34,50,22
machine,0.1,atom_occlusion,0.7,43,50,28
machine,0.1,atom_occlusion,0.8,51,50,35
machine,0.1,atom_occlusion,0.9,59,50,43
machine,0.1,gradinput,0.5,19,55,12
machine,0.1,gradinput,0.6,21,55,12
machine,0.1,gradinput,0.7,21,55,12
machine,0.1,gradinput,0.8,24,55,15
machine,0.1,gradinput,0.9,33,55,23
machine,0.1,ig,0.5,19,52,12
machine,0.1,ig,0.6,24,52,15
machine,0.1,ig,0.7,31,52,20
machine,0.1,ig,0.8,39,52,26
machine,0.1,ig,0.9,51,52,37
machine,0.1,saliency,0.5,23,54,16
machine,0.1,saliency,0.6,25,54,18
machine,0.1,saliency,0.7,29,54,22
machine,0.1,saliency,0.8,41,54,33
machine,0.1,saliency,0.9,55,54,44
exact_integer,0.2,atom_occlusion,0.5,40,58,34
exact_integer,0.2,atom_occlusion,0.6,48,58,40
exact_integer,0.2,atom_occlusion,0.7,57,58,49
exact_integer,0.2,atom_occlusion,0.8,59,58,51
exact_integer,0.2,atom_occlusion,0.9,66,58,58
exact_integer,0.2,gradinput,0.5,21,59,18
exact_integer,0.2,gradinput,0.6,26,59,23
exact_integer,0.2,gradinput,0.7,31,59,27
exact_integer,0.2,gradinput,0.8,34,59,30
exact_integer,0.2,gradinput,0.9,60,59,53
exact_integer,0.2,ig,0.5,27,57,25
exact_integer,0.2,ig,0.6,36,57,34
exact_integer,0.2,ig,0.7,44,57,40
exact_integer,0.2,ig,0.8,55,57,48
exact_integer,0.2,ig,0.9,65,57,56
exact_integer,0.2,saliency,0.5,27,48,19
exact_integer,0.2,saliency,0.6,34,48,24
exact_integer,0.2,saliency,0.7,44,48,33
exact_integer,0.2,saliency,0.8,54,48,40
exact_integer,0.2,saliency,0.9,61,48,44
machine,0.2,atom_occlusion,0.5,40,58,34
machine,0.2,atom_occlusion,0.6,48,58,40
machine,0.2,atom_occlusion,0.7,57,58,49
machine,0.2,atom_occlusion,0.8,59,58,51
machine,0.2,atom_occlusion,0.9,66,58,58
machine,0.2,gradinput,0.5,21,59,18
machine,0.2,gradinput,0.6,26,59,23
machine,0.2,gradinput,0.7,31,59,27
machine,0.2,gradinput,0.8,34,59,30
machine,0.2,gradinput,0.9,60,59,53
machine,0.2,ig,0.5,27,57,25
machine,0.2,ig,0.6,36,57,34
machine,0.2,ig,0.7,44,57,40
machine,0.2,ig,0.8,55,57,48
machine,0.2,ig,0.9,65,57,56
machine,0.2,saliency,0.5,27,48,19
machine,0.2,saliency,0.6,34,48,24
machine,0.2,saliency,0.7,44,48,33
machine,0.2,saliency,0.8,54,48,40
machine,0.2,saliency,0.9,61,48,44
