cell_id,model,seed,target,method,policy,alpha,selected_fraction,corrected_calibration_risk,fallback_full,n_calibration,n_test,risk,mean_atom_fraction,precision,iou,tie_inflation,equal_size_random_risk,reference_first_schedule_risk,fixed_20_risk,fixed_20_mean_atom_fraction,fixed_20_precision,fixed_20_iou,fixed_50_risk,fixed_50_mean_atom_fraction,fixed_50_precision,fixed_50_iou
liver__gcn__seed123,gcn,123,observed_class,gradinput,index_tiebreak_v1,0.05,0.98,0.0294117647058823,False,33,31,0.0,1.0,0.2706459829621886,0.2706459829621886,0.0,0.0,0.0,0.8083815825751312,0.2205405425670831,0.2845622119815669,0.1390239635970186,0.5773661822048918,0.5168316543735149,0.2670425084087323,0.20426269247595
liver__gcn__seed123,gcn,123,observed_class,gradinput,index_tiebreak_v1,0.1,0.95,0.0778020710546662,False,33,31,0.0857654889912954,0.9738696534249016,0.268666070907494,0.2659569001417424,0.0,0.0261303465750981,0.0,0.8083815825751312,0.2205405425670831,0.2845622119815669,0.1390239635970186,0.5773661822048918,0.5168316543735149,0.2670425084087323,0.20426269247595
liver__gcn__seed123,gcn,123,observed_class,gradinput,index_tiebreak_v1,0.2,0.88,0.1851587090341415,False,33,31,0.2601618811296231,0.9067384790260048,0.2547663223773201,0.2462322594229994,0.0,0.093261520973995,0.0,0.8083815825751312,0.2205405425670831,0.2845622119815669,0.1390239635970186,0.5773661822048918,0.5168316543735149,0.2670425084087323,0.20426269247595
liver__gcn__seed123,gcn,123,observed_class,gradinput,include_all_exact_ties_v2,0.05,0.98,0.0294117647058823,False,33,31,0.0,1.0,0.2706459829621886,0.2706459829621886,0.0,0.0,0.0,0.8083815825751312,0.2353506214750847,0.2837941628264209,0.1388703537659894,0.5558608058608059,0.5296435703113671,0.2751070245377646,0.215015380647993
liver__gcn__seed123,gcn,123,observed_class,gradinput,include_all_exact_ties_v2,0.1,0.95,0.0778020710546662,False,33,31,0.0857654889912954,0.9738696534249016,0.268666070907494,0.2659569001417424,0.0,0.0261303465750981,0.0,0.8083815825751312,0.2353506214750847,0.2837941628264209,0.1388703537659894,0.5558608058608059,0.5296435703113671,0.2751070245377646,0.215015380647993
liver__gcn__seed123,gcn,123,observed_class,gradinput,include_all_exact_ties_v2,0.2,0.88,0.1733940031517886,False,33,31,0.2363523573200993,0.9140430307278402,0.2568115837535157,0.2493986553737757,0.0073045517018352,0.0859569692721597,0.0,0.8083815825751312,0.2353506214750847,0.2837941628264209,0.1388703537659894,0.5558608058608059,0.5296435703113671,0.2751070245377646,0.215015380647993
liver__gcn__seed123,gcn,123,observed_class,ig,index_tiebreak_v1,0.05,0.98,0.0294117647058823,False,33,31,0.0,1.0,0.2706459829621886,0.2706459829621886,0.0,0.0,0.0,0.8150577021544765,0.2205405425670831,0.2670506912442396,0.1313728386309031,0.5869569498601755,0.5168316543735149,0.2580231675345527,0.1954042661622807
liver__gcn__seed123,gcn,123,observed_class,ig,index_tiebreak_v1,0.1,0.93,0.0952857311853851,False,33,31,0.1176099885777305,0.9554825612409048,0.2650610733399675,0.2611574576376063,0.0,0.044517438759095,0.0,0.8150577021544765,0.2205405425670831,0.2670506912442396,0.1313728386309031,0.5869569498601755,0.5168316543735149,0.2580231675345527,0.1954042661622807
liver__gcn__seed123,gcn,123,observed_class,ig,index_tiebreak_v1,0.2,0.88,0.1699337955393318,False,33,31,0.2402418370160305,0.9067384790260048,0.2593794973859165,0.2517083732336663,0.0,0.093261520973995,0.0,0.8150577021544765,0.2205405425670831,0.2670506912442396,0.1313728386309031,0.5869569498601755,0.5168316543735149,0.2580231675345527,0.1954042661622807
liver__gcn__seed123,gcn,123,observed_class,ig,include_all_exact_ties_v2,0.05,0.98,0.0294117647058823,False,33,31,0.0,1.0,0.2706459829621886,0.2706459829621886,0.0,0.0,0.0,0.8150577021544765,0.2250459817923865,0.2646697388632872,0.1308608058608058,0.5654515735160895,0.5316596993436251,0.266087683663585,0.2061569543343237
