cell_id,target,method,policy,alpha,rule,q,lambda,empirical_calibration_risk,corrected_calibration_risk,fallback_full,n_calibration,n_test,risk,mean_atom_fraction,precision,iou,full_molecule_fraction
liver__gcn__seed123,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.05,corrected,95,0.9500000000000001,0.013954672778202191,0.04295600593178448,False,33,31,0.0035842293906810053,0.9738696534249016,0.27749298606929884,0.2768138689215909,0.3548387096774194
liver__gcn__seed123,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.05,naive,91,0.91,0.04808546573252456,0.07608295203450913,False,33,31,0.014336917562724018,0.939553010556796,0.28335465497023443,0.28236831816046815,0.06451612903225806
liver__gcn__seed123,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.1,corrected,89,0.89,0.0694956459662342,0.09686342108487436,False,33,31,0.040165032100515974,0.9199599374467046,0.2823282018524345,0.2785613217372821,0.06451612903225806
liver__gcn__seed123,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.1,naive,86,0.86,0.08707719295954588,0.11392786375485336,False,33,31,0.08468234274685887,0.886507898753899,0.28341015865687674,0.2778682549104973,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.2,corrected,77,0.77,0.16252309781721544,0.18715477141082676,False,33,31,0.19900350545511838,0.7969036435440863,0.27503410341394874,0.25594383553839856,0.0
liver__gcn__seed123,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.2,naive,76,0.76,0.18811232340644105,0.21199137271801632,False,33,31,0.19900350545511838,0.7857329420128534,0.2771947714851831,0.25810450360963294,0.0
liver__gcn__seed123,hepatotoxic_class,atom_occlusion,include_all_exact_ties_v2,0.05,corrected,95,0.9500000000000001,0.013954672778202191,0.04295600593178448,False,33,31,0.0035842293906810053,0.9770954598765145,0.2757951932000288,0.27511607605232086,0.41935483870967744
liver__gcn__seed123,hepatotoxic_class,atom_occlusion,include_all_exact_ties_v2,0.05,naive,90,0.9,0.046500993559817086,0.07454508198452835,False,33,31,0.027492221040608136,0.9282886462357202,0.28292316746392704,0.2795022588706046,0.0967741935483871
liver__gcn__seed123,hepatotoxic_class,atom_occlusion,include_all_exact_ties_v2,0.1,corrected,89,0.89,0.05771113418172242,0.08542551258814235,False,33,31,0.0355567371696404,0.9229535835855118,0.2828918508291948,0.2793330872593078,0.0967741935483871
liver__gcn__seed123,hepatotoxic_class,atom_occlusion,include_all_exact_ties_v2,0.1,naive,86,0.86,0.08202668790904086,0.10902590297053966,False,33,31,0.06586513844578361,0.8899136513253912,0.28516437268413586,0.27972998809650895,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,atom_occlusion,include_all_exact_ties_v2,0.2,corrected,76,0.76,0.17014695544107308,0.19455439792810034,False,33,31,0.18825081728307536,0.79392546633441,0.27969093123940736,0.262136761674149,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,atom_occlusion,include_all_exact_ties_v2,0.2,naive,76,0.76,0.17014695544107308,0.19455439792810034,False,33,31,0.18825081728307536,0.79392546633441,0.27969093123940736,0.262136761674149,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,gradinput,index_tiebreak_v1,0.05,corrected,95,0.9500000000000001,0.013954672778202191,0.04295600593178448,False,33,31,0.0035842293906810053,0.9738696534249016,0.27749298606929884,0.2768138689215909,0.3548387096774194
liver__gcn__seed123,hepatotoxic_class,gradinput,index_tiebreak_v1,0.05,naive,90,0.9,0.04664431429137311,0.07468418740045037,False,33,31,0.04920437984954115,0.9252950000969127,0.27942696716751864,0.27598779726561234,0.06451612903225806
liver__gcn__seed123,hepatotoxic_class,gradinput,index_tiebreak_v1,0.1,corrected,88,0.88,0.06879721585603939,0.09618553303674411,False,33,31,0.07352593642916225,0.9067384790260051,0.2783453414860216,0.2737091443861393,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,gradinput,index_tiebreak_v1,0.1,naive,86,0.86,0.08899923605805958,0.115793376173999,False,33,31,0.08770530544724092,0.886507898753899,0.2791895748828676,0.2724876880936202,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,gradinput,index_tiebreak_v1,0.2,corrected,77,0.77,0.16861782008840837,0.19307023714463165,False,33,31,0.21183386505967156,0.7969036435440863,0.274159799390891,0.2557309725327173,0.0
liver__gcn__seed123,hepatotoxic_class,gradinput,index_tiebreak_v1,0.2,naive,76,0.76,0.1829016843722726,0.20693398777308813,False,33,31,0.22796289731773609,0.7857329420128534,0.2720347427809793,0.2531136229227081,0.0
liver__gcn__seed123,hepatotoxic_class,gradinput,include_all_exact_ties_v2,0.05,corrected,95,0.9500000000000001,0.013954672778202191,0.04295600593178448,False,33,31,0.0035842293906810053,0.9754825566507079,0.2763045310608098,0.2756254139131019,0.3870967741935484
liver__gcn__seed123,hepatotoxic_class,gradinput,include_all_exact_ties_v2,0.05,naive,90,0.9,0.04664431429137311,0.07468418740045037,False,33,31,0.04920437984954115,0.9294616667635793,0.27885093030115915,0.27541176039925286,0.12903225806451613
liver__gcn__seed123,hepatotoxic_class,gradinput,include_all_exact_ties_v2,0.1,corrected,88,0.88,0.06879721585603939,0.09618553303674411,False,33,31,0.06994170703848124,0.9137976816921688,0.2784186826504444,0.2742125930774438,0.0967741935483871
liver__gcn__seed123,hepatotoxic_class,gradinput,include_all_exact_ties_v2,0.1,naive,84,0.84,0.08505786152844975,0.11196792442467182,False,33,31,0.1145082516050258,0.8682222090929972,0.27778186314343656,0.26984586920216286,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,gradinput,include_all_exact_ties_v2,0.2,corrected,76,0.76,0.154282155752744,0.17915620999531037,False,33,31,0.19749694749694754,0.7997521366772093,0.27785284940553745,0.26097135658689335,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,gradinput,include_all_exact_ties_v2,0.2,naive,76,0.76,0.154282155752744,0.17915620999531037,False,33,31,0.19749694749694754,0.7997521366772093,0.27785284940553745,0.26097135658689335,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,ig,index_tiebreak_v1,0.05,corrected,95,0.9500000000000001,0.013954672778202191,0.04295600593178448,False,33,31,0.010673913899720352,0.9738696534249016,0.27540965273596546,0.2741310180402488,0.3548387096774194
liver__gcn__seed123,hepatotoxic_class,ig,index_tiebreak_v1,0.05,naive,92,0.92,0.03701864584217525,0.06534162684681716,False,33,31,0.05002166292488872,0.9472535381731719,0.2739162613972465,0.27177201626928627,0.0967741935483871
liver__gcn__seed123,hepatotoxic_class,ig,index_tiebreak_v1,0.1,corrected,88,0.88,0.06142942025294966,0.0890344373043335,False,33,31,0.07536728504470439,0.9067384790260051,0.2811114821553881,0.27758789051072874,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,ig,index_tiebreak_v1,0.1,naive,85,0.85,0.09199983023512436,0.1187057175811501,False,33,31,0.12403009177202726,0.8722136505886832,0.2772466922584311,0.2684710951606417,0.0
liver__gcn__seed123,hepatotoxic_class,ig,index_tiebreak_v1,0.2,corrected,79,0.79,0.15145061909767796,0.1764079538300992,False,33,31,0.17279136633975345,0.8164803309362875,0.27480259334026824,0.2588896243419282,0.0
liver__gcn__seed123,hepatotoxic_class,ig,index_tiebreak_v1,0.2,naive,77,0.77,0.18677825442531326,0.21069654105986288,False,33,31,0.181338374886762,0.7969036435440863,0.27803978900780446,0.2602294269454179,0.0
liver__gcn__seed123,hepatotoxic_class,ig,include_all_exact_ties_v2,0.05,corrected,95,0.9500000000000001,0.013954672778202191,0.04295600593178448,False,33,31,0.006065618968844775,0.9764600737572573,0.27501543037654785,0.27392008013830915,0.41935483870967744
liver__gcn__seed123,hepatotoxic_class,ig,include_all_exact_ties_v2,0.05,naive,92,0.92,0.03701864584217525,0.06534162684681716,False,33,31,0.033892630666824214,0.9530331080656451,0.2744559169878359,0.27246528169090484,0.1935483870967742
liver__gcn__seed123,hepatotoxic_class,ig,include_all_exact_ties_v2,0.1,corrected,86,0.86,0.06142942025294966,0.0890344373043335,False,33,31,0.10721178463113948,0.889671967282993,0.278717694757382,0.272823065996338,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,ig,include_all_exact_ties_v2,0.1,naive,83,0.8300000000000001,0.093657431892726,0.1203145662488223,False,33,31,0.12382330930718027,0.8632715579404728,0.27959862805166086,0.27096037971445325,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,ig,include_all_exact_ties_v2,0.2,corrected,76,0.76,0.17189411895294246,0.19625017427785593,False,33,31,0.1553527118043247,0.7996245175856377,0.284376863367328,0.26918929926434526,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,ig,include_all_exact_ties_v2,0.2,naive,76,0.76,0.17189411895294246,0.19625017427785593,False,33,31,0.1553527118043247,0.7996245175856377,0.284376863367328,0.26918929926434526,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,saliency,index_tiebreak_v1,0.05,corrected,95,0.9500000000000001,0.012887112887112882,0.04191984486102133,False,33,31,0.06988262633423924,0.9738696534249016,0.26382482393690104,0.25854685978252806,0.3548387096774194
