family,method,set_family,calibration_loss,test_union_risk,test_alternative_risk,mean_atom_fraction
bxaic,gradinput,global_index,union,0.06801112752126691,,0.5611515792794182
bxaic,gradinput,minmax_threshold,union,0.06427451757376419,,0.557436883737954
bxaic,ig,global_index,union,0.07054318958415284,,0.5166988253771677
bxaic,ig,minmax_threshold,union,0.0687350428024606,,0.5062305547495212
google,gradinput,global_index,alternative,0.10545088968360244,0.07186233698334761,0.8976753398506052
google,gradinput,global_index,union,0.08527133674540588,0.057140959070480335,0.9192996304579983
google,gradinput,minmax_threshold,alternative,0.10582211715589375,0.07402252357571507,0.8829196614117943
google,gradinput,minmax_threshold,union,0.09340692227394354,0.06496299976619126,0.9042772858105322
google,ig,global_index,alternative,0.11946222217498811,0.0835140740612815,0.7770398874441794
google,ig,global_index,union,0.09340379596762574,0.06717928429431087,0.8239975270235127
google,ig,minmax_threshold,alternative,0.11384597723494,0.0882070783826103,0.7829513081399425
google,ig,minmax_threshold,union,0.09275787835096345,0.07151064981118171,0.8244056831964501
