calibration_fraction,selector,method,mean_test_risk,violation_frequency,mean_nominal_fraction,mean_realized_atom_fraction
0.125,corrected,atom_occlusion,0.0563797406093352,0.07803030303030303,0.5186824242424243,0.5405563222847989
0.125,corrected,gnnexplainer,0.0628054982804156,0.09312121212121212,0.86114,0.8848061044327629
0.125,corrected,gradinput,0.0509086951073286,0.025333333333333333,0.657270606060606,0.6809141685239625
0.125,corrected,ig,0.05297968902726279,0.027363636363636364,0.613699696969697,0.6373491639243318
0.125,corrected,saliency,0.06030558379794982,0.08578787878787879,0.6235224242424243,0.6480756374296962
0.125,naive,atom_occlusion,0.08934547502248213,0.4128787878787879,0.46543212121212124,0.4872460233698869
0.125,naive,gnnexplainer,0.10192029959723883,0.4463333333333333,0.8085475757575757,0.8334277947959756
0.125,naive,gradinput,0.08462472804834055,0.3127878787878788,0.6222712121212122,0.6463143368037703
0.125,naive,ig,0.08574691974776372,0.33296969696969697,0.5645309090909091,0.5885351218057587
0.125,naive,saliency,0.09494164173930864,0.40639393939393936,0.577199696969697,0.6015014006293681
0.25,corrected,atom_occlusion,0.07124767104392427,0.14224242424242425,0.49176121212121215,0.5134166589810285
0.25,corrected,gnnexplainer,0.07926409288953516,0.14951515151515152,0.8375318181818181,0.8614569981743114
0.25,corrected,gradinput,0.06658867749218561,0.06024242424242424,0.6409763636363637,0.6645811497047713
0.25,corrected,ig,0.06792663060026673,0.06551515151515151,0.5898030303030303,0.6134614902654656
0.25,corrected,saliency,0.07578856679311927,0.1417272727272727,0.5987754545454546,0.6231207012105509
0.25,naive,atom_occlusion,0.08794541618154623,0.39751515151515154,0.4661545454545455,0.4879331901923608
0.25,naive,gnnexplainer,0.09895823903008769,0.41524242424242425,0.8114812121212122,0.8359940986555857
0.25,naive,gradinput,0.08349229509236417,0.27824242424242424,0.6231539393939394,0.6470468254730892
0.25,naive,ig,0.0844193036915975,0.2975151515151515,0.5656239393939394,0.5895334183558358
0.25,naive,saliency,0.09296778709051146,0.3782424242424242,0.577039393939394,0.6013503887563888
0.5,corrected,atom_occlusion,0.07896658791141387,0.21233333333333332,0.4794975757575758,0.5011371394251606
0.5,corrected,gnnexplainer,0.08692780457495418,0.20706060606060606,0.8263672727272728,0.8503376374451216
0.5,corrected,gradinput,0.07496440058715255,0.12399999999999999,0.6327069696969697,0.6563422999027344
0.5,corrected,ig,0.07561775296861656,0.1311212121212121,0.5780269696969697,0.601841981756931
0.5,corrected,saliency,0.08311199234058986,0.20781818181818182,0.5879575757575758,0.6122068263337822
0.5,naive,atom_occlusion,0.08765863330651208,0.37996969696969696,0.466479696969697,0.48822858951564146
0.5,naive,gnnexplainer,0.09698993600532149,0.38712121212121214,0.8132812121212122,0.8375490828885271
0.5,naive,gradinput,0.08313705784529171,0.26548484848484843,0.6234730303030303,0.6473639664529837
0.5,naive,ig,0.0835640779349345,0.26833333333333337,0.5661445454545455,0.5901447724582642
0.5,naive,saliency,0.0917829737343633,0.36284848484848486,0.5773181818181818,0.6016602892477516
