calibration_fraction,selector,covariate,outcome,n_tasks,spearman_rho,descriptive_p_value
0.125,corrected,rationale_prevalence,mean_test_risk,11,0.5636363636363637,0.07095173447637551
0.125,corrected,rationale_prevalence,violation_frequency,11,0.11818181818181818,0.7292847795197801
0.125,corrected,rationale_prevalence,mean_realized_atom_fraction,11,0.1272727272727273,0.709214625773305
0.125,corrected,test_auroc,mean_test_risk,11,-0.19090909090909092,0.5739131682855213
0.125,corrected,test_auroc,violation_frequency,11,0.3727272727272728,0.2589258736842221
0.125,corrected,test_auroc,mean_realized_atom_fraction,11,-0.7000000000000001,0.016470978836514428
0.125,naive,rationale_prevalence,mean_test_risk,11,0.5363636363636364,0.08895341813596268
0.125,naive,rationale_prevalence,violation_frequency,11,0.41818181818181827,0.20057021703405045
0.125,naive,rationale_prevalence,mean_realized_atom_fraction,11,0.13636363636363638,0.6893090205863619
0.125,naive,test_auroc,mean_test_risk,11,-0.5272727272727273,0.09556521835315425
0.125,naive,test_auroc,violation_frequency,11,-0.6363636363636364,0.0352869812200623
0.125,naive,test_auroc,mean_realized_atom_fraction,11,-0.7363636363636363,0.009759535959916903
0.25,corrected,rationale_prevalence,mean_test_risk,11,0.4272727272727273,0.18994372496542714
0.25,corrected,rationale_prevalence,violation_frequency,11,0.16363636363636366,0.6306852146425356
0.25,corrected,rationale_prevalence,mean_realized_atom_fraction,11,0.1272727272727273,0.709214625773305
0.25,corrected,test_auroc,mean_test_risk,11,-0.690909090909091,0.018565033381595007
0.25,corrected,test_auroc,violation_frequency,11,0.17272727272727276,0.6115423848512369
0.25,corrected,test_auroc,mean_realized_atom_fraction,11,-0.7000000000000001,0.016470978836514428
0.25,naive,rationale_prevalence,mean_test_risk,11,0.39090909090909093,0.23454006709519443
0.25,naive,rationale_prevalence,violation_frequency,11,0.24545454545454545,0.4669223669820161
0.25,naive,rationale_prevalence,mean_realized_atom_fraction,11,0.13636363636363638,0.6893090205863619
0.25,naive,test_auroc,mean_test_risk,11,-0.7272727272727273,0.011204967253592074
0.25,naive,test_auroc,violation_frequency,11,-0.7272727272727273,0.011204967253592074
0.25,naive,test_auroc,mean_realized_atom_fraction,11,-0.7363636363636363,0.009759535959916903
0.5,corrected,rationale_prevalence,mean_test_risk,11,0.3545454545454546,0.2846927409558867
0.5,corrected,rationale_prevalence,violation_frequency,11,0.26363636363636367,0.43344073761161456
0.5,corrected,rationale_prevalence,mean_realized_atom_fraction,11,0.13636363636363638,0.6893090205863619
0.5,corrected,test_auroc,mean_test_risk,11,-0.690909090909091,0.018565033381595007
0.5,corrected,test_auroc,violation_frequency,11,-0.1272727272727273,0.709214625773305
0.5,corrected,test_auroc,mean_realized_atom_fraction,11,-0.7363636363636363,0.009759535959916903
0.5,naive,rationale_prevalence,mean_test_risk,11,0.22727272727272727,0.501535667604937
0.5,naive,rationale_prevalence,violation_frequency,11,0.15454545454545454,0.6500339654975799
0.5,naive,rationale_prevalence,mean_realized_atom_fraction,11,0.13636363636363638,0.6893090205863619
0.5,naive,test_auroc,mean_test_risk,11,-0.7454545454545456,0.008454728885061566
0.5,naive,test_auroc,violation_frequency,11,-0.7363636363636363,0.009759535959916903
0.5,naive,test_auroc,mean_realized_atom_fraction,11,-0.7363636363636363,0.009759535959916903
