family,task,calibration_fraction,selector,mean_test_risk,violation_frequency,mean_realized_atom_fraction,rationale_prevalence,test_auroc
bxaic,B,0.125,corrected,0.03337574603174603,0.07826666666666666,0.20525537855799167,0.022802280228022807,1.0
bxaic,B,0.125,naive,0.04518895238095238,0.1452,0.18626854020452027,0.022802280228022807,1.0
bxaic,B,0.25,corrected,0.03920666666666666,0.10313333333333333,0.19171540540955026,0.022802280228022807,1.0
bxaic,B,0.25,naive,0.04497585185185185,0.1498,0.18367855947487677,0.022802280228022807,1.0
bxaic,B,0.5,corrected,0.039835333333333334,0.10679999999999999,0.18827945546971733,0.022802280228022807,1.0
bxaic,B,0.5,naive,0.042752111111111116,0.13486666666666666,0.1847529702831779,0.022802280228022807,1.0
bxaic,P,0.125,corrected,0.06132207423090449,0.12226666666666668,0.17800862052524283,0.12951295129512952,0.9999992811749052
bxaic,P,0.125,naive,0.08518061534916997,0.2577333333333333,0.15224500782171577,0.12951295129512952,0.9999992811749052
bxaic,P,0.25,corrected,0.07335770250403192,0.1673333333333333,0.16495819484880564,0.12951295129512952,0.9999992811749052
bxaic,P,0.25,naive,0.08541559311886372,0.2574666666666667,0.152863211656022,0.12951295129512952,0.9999992811749052
bxaic,P,0.5,corrected,0.08087257889822595,0.22386666666666669,0.1581557290193634,0.12951295129512952,0.9999992811749052
bxaic,P,0.5,naive,0.08680523504795859,0.28300000000000003,0.15204253585907263,0.12951295129512952,0.9999992811749052
bxaic,PAINS,0.125,corrected,0.06272641565919733,0.0494,0.8904478566643044,0.32693269326932695,0.9159453968910113
bxaic,PAINS,0.125,naive,0.09906663294116404,0.4564666666666667,0.8345520387768562,0.32693269326932695,0.9159453968910113
bxaic,PAINS,0.25,corrected,0.07935398737953239,0.11453333333333333,0.863624882855817,0.32693269326932695,0.9159453968910113
bxaic,PAINS,0.25,naive,0.09740185830086857,0.43173333333333336,0.8362589221617017,0.32693269326932695,0.9159453968910113
bxaic,PAINS,0.5,corrected,0.08776292367820328,0.19419999999999998,0.8507422793256084,0.32693269326932695,0.9159453968910113
bxaic,PAINS,0.5,naive,0.09661942549469699,0.4044,0.8371538652053286,0.32693269326932695,0.9159453968910113
bxaic,X,0.125,corrected,0.06504739047619049,0.1764666666666667,0.28035826072706027,0.5586558655865587,0.9999235776904805
bxaic,X,0.125,naive,0.09880365079365079,0.42433333333333334,0.25936265344189957,0.5586558655865587,0.9999235776904805
bxaic,X,0.25,corrected,0.07467644444444445,0.19833333333333333,0.2721157041785556,0.5586558655865587,0.9999235776904805
bxaic,X,0.25,naive,0.09124975555555556,0.3556666666666667,0.26205935707721567,0.5586558655865587,0.9999235776904805
bxaic,X,0.5,corrected,0.08019824444444444,0.22126666666666667,0.2678624495135635,0.5586558655865587,0.9999235776904805
bxaic,X,0.5,naive,0.08741916666666667,0.30119999999999997,0.2632371913310169,0.5586558655865587,0.9999235776904805
bxaic,indole,0.125,corrected,0.062321231474698154,0.04,0.7901623779980642,0.37343734373437343,0.9633160469898138
bxaic,indole,0.125,naive,0.09796645149911817,0.431,0.7242813761383371,0.37343734373437343,0.9633160469898138
bxaic,indole,0.25,corrected,0.07895498334916114,0.09973333333333333,0.7583105004473016,0.37343734373437343,0.9633160469898138
bxaic,indole,0.25,naive,0.0969775628996518,0.40700000000000003,0.7247524195504769,0.37343734373437343,0.9633160469898138
bxaic,indole,0.5,corrected,0.08701848300094968,0.18146666666666667,0.742473524027339,0.37343734373437343,0.9633160469898138
bxaic,indole,0.5,naive,0.09642677967711302,0.39793333333333336,0.7251357646998235,0.37343734373437343,0.9633160469898138
bxaic,rings-count,0.125,corrected,0.05997808471142444,0.0041333333333333335,0.9260962836112097,0.9868986898689869,0.9638192785545106
bxaic,rings-count,0.125,naive,0.09566113419297319,0.37653333333333333,0.8895148857521088,0.9868986898689869,0.9638192785545106
bxaic,rings-count,0.25,corrected,0.07724226291628628,0.02606666666666667,0.9078633570038003,0.9868986898689869,0.9638192785545106
bxaic,rings-count,0.25,naive,0.09515410963474254,0.3231333333333334,0.889956682589519,0.9868986898689869,0.9638192785545106
bxaic,rings-count,0.5,corrected,0.08553099531609511,0.09146666666666667,0.8994041769337916,0.9868986898689869,0.9638192785545106
bxaic,rings-count,0.5,naive,0.09496561199146587,0.26513333333333333,0.8901667520353432,0.9868986898689869,0.9638192785545106
bxaic,rings-max,0.125,corrected,0.06148687315917777,0.03733333333333333,0.902913624144317,0.0574057405740574,0.8244727549718628
bxaic,rings-max,0.125,naive,0.09778394621756954,0.4220666666666667,0.8582211905125265,0.0574057405740574,0.8244727549718628
bxaic,rings-max,0.25,corrected,0.07841895054698002,0.10033333333333333,0.8818426967039819,0.0574057405740574,0.8244727549718628
bxaic,rings-max,0.25,naive,0.0964859449633894,0.39486666666666664,0.8595060068549064,0.0574057405740574,0.8244727549718628
bxaic,rings-max,0.5,corrected,0.08674715167001752,0.18446666666666667,0.8715559689791234,0.0574057405740574,0.8244727549718628
