method,outcome,n_cells,pearson_r,spearman_rho,mean_absolute_error,median_absolute_error,signed_bias_subset_minus_full,max_absolute_error
gradinput,risk,66,0.6194782024282756,0.3593645661596498,0.01647576239830624,0.008891333268895206,-0.012318322488240802,0.07296088747477639
gradinput,atom_fraction,66,0.9998152470739448,0.9811164988890105,0.005471495576333322,0.0014556278666414402,0.004034688919255327,0.0340354491077991
gradinput,precision,66,0.9885500225643565,0.9952968716665731,0.022610476455501988,0.004416144591186527,-0.019277289040483838,0.15120689655172403
gradinput,iou,66,0.9921215656876449,0.9919836639361065,0.01592506716350333,0.004063018315416306,-0.010270898378932946,0.10347140206894956
gradinput,selected_grid_fraction,66,0.9998557694501231,0.9931247297634022,0.004999999999999998,0.0,0.0037878787878787784,0.020000000000000018
ig,risk,66,0.7002214505355714,0.43047163050970383,0.015235745755273497,0.008292976064325379,-0.013866337723762515,0.05087029072101918
ig,atom_fraction,66,0.9991844868534114,0.986274140780411,0.009562573369929753,0.008658143408199183,0.009265489402203324,0.09728556549497314
ig,precision,66,0.9871956679817216,0.9980550527709318,0.024721793349304425,0.005287014854922389,-0.022796080640092427,0.15120689655172403
ig,iou,66,0.9915121628858733,0.9980550527709318,0.016288279302927082,0.0037810232699869717,-0.012904655232220499,0.10347140206894956
ig,selected_grid_fraction,66,0.9991986041409181,0.9954749794568422,0.009242424242424241,0.009999999999999995,0.00924242424242424,0.09999999999999998
