scope,target_a,target_b,shared_molecules
selected_mmp_panel,CHEMBL204_Ki,CHEMBL214_Ki,0
selected_mmp_panel,CHEMBL204_Ki,CHEMBL228_Ki,0
selected_mmp_panel,CHEMBL204_Ki,CHEMBL233_Ki,0
selected_mmp_panel,CHEMBL204_Ki,CHEMBL234_Ki,0
selected_mmp_panel,CHEMBL204_Ki,CHEMBL235_EC50,0
selected_mmp_panel,CHEMBL204_Ki,CHEMBL236_Ki,0
selected_mmp_panel,CHEMBL204_Ki,CHEMBL237_Ki,0
selected_mmp_panel,CHEMBL204_Ki,CHEMBL244_Ki,38
selected_mmp_panel,CHEMBL204_Ki,CHEMBL264_Ki,0
selected_mmp_panel,CHEMBL204_Ki,CHEMBL4792_Ki,0
selected_mmp_panel,CHEMBL214_Ki,CHEMBL228_Ki,6
selected_mmp_panel,CHEMBL214_Ki,CHEMBL233_Ki,0
selected_mmp_panel,CHEMBL214_Ki,CHEMBL234_Ki,0
selected_mmp_panel,CHEMBL214_Ki,CHEMBL235_EC50,0
selected_mmp_panel,CHEMBL214_Ki,CHEMBL236_Ki,0
selected_mmp_panel,CHEMBL214_Ki,CHEMBL237_Ki,0
selected_mmp_panel,CHEMBL214_Ki,CHEMBL244_Ki,0
selected_mmp_panel,CHEMBL214_Ki,CHEMBL264_Ki,0
selected_mmp_panel,CHEMBL214_Ki,CHEMBL4792_Ki,0
selected_mmp_panel,CHEMBL228_Ki,CHEMBL233_Ki,0
selected_mmp_panel,CHEMBL228_Ki,CHEMBL234_Ki,0
selected_mmp_panel,CHEMBL228_Ki,CHEMBL235_EC50,0
selected_mmp_panel,CHEMBL228_Ki,CHEMBL236_Ki,0
selected_mmp_panel,CHEMBL228_Ki,CHEMBL237_Ki,0
selected_mmp_panel,CHEMBL228_Ki,CHEMBL244_Ki,0
selected_mmp_panel,CHEMBL228_Ki,CHEMBL264_Ki,10
selected_mmp_panel,CHEMBL228_Ki,CHEMBL4792_Ki,0
selected_mmp_panel,CHEMBL233_Ki,CHEMBL234_Ki,0
selected_mmp_panel,CHEMBL233_Ki,CHEMBL235_EC50,0
selected_mmp_panel,CHEMBL233_Ki,CHEMBL236_Ki,16
selected_mmp_panel,CHEMBL233_Ki,CHEMBL237_Ki,20
selected_mmp_panel,CHEMBL233_Ki,CHEMBL244_Ki,0
selected_mmp_panel,CHEMBL233_Ki,CHEMBL264_Ki,0
selected_mmp_panel,CHEMBL233_Ki,CHEMBL4792_Ki,0
selected_mmp_panel,CHEMBL234_Ki,CHEMBL235_EC50,0
selected_mmp_panel,CHEMBL234_Ki,CHEMBL236_Ki,0
selected_mmp_panel,CHEMBL234_Ki,CHEMBL237_Ki,0
selected_mmp_panel,CHEMBL234_Ki,CHEMBL244_Ki,0
selected_mmp_panel,CHEMBL234_Ki,CHEMBL264_Ki,0
selected_mmp_panel,CHEMBL234_Ki,CHEMBL4792_Ki,0
selected_mmp_panel,CHEMBL235_EC50,CHEMBL236_Ki,0
selected_mmp_panel,CHEMBL235_EC50,CHEMBL237_Ki,0
selected_mmp_panel,CHEMBL235_EC50,CHEMBL244_Ki,0
selected_mmp_panel,CHEMBL235_EC50,CHEMBL264_Ki,0
selected_mmp_panel,CHEMBL235_EC50,CHEMBL4792_Ki,0
selected_mmp_panel,CHEMBL236_Ki,CHEMBL237_Ki,7
selected_mmp_panel,CHEMBL236_Ki,CHEMBL244_Ki,0
selected_mmp_panel,CHEMBL236_Ki,CHEMBL264_Ki,0
selected_mmp_panel,CHEMBL236_Ki,CHEMBL4792_Ki,0
selected_mmp_panel,CHEMBL237_Ki,CHEMBL244_Ki,0
selected_mmp_panel,CHEMBL237_Ki,CHEMBL264_Ki,0
selected_mmp_panel,CHEMBL237_Ki,CHEMBL4792_Ki,0
selected_mmp_panel,CHEMBL244_Ki,CHEMBL264_Ki,0
selected_mmp_panel,CHEMBL244_Ki,CHEMBL4792_Ki,0
selected_mmp_panel,CHEMBL264_Ki,CHEMBL4792_Ki,0
full_mmp_series_manifest,CHEMBL204_Ki,CHEMBL214_Ki,0
full_mmp_series_manifest,CHEMBL204_Ki,CHEMBL228_Ki,0
full_mmp_series_manifest,CHEMBL204_Ki,CHEMBL233_Ki,0
full_mmp_series_manifest,CHEMBL204_Ki,CHEMBL234_Ki,0
full_mmp_series_manifest,CHEMBL204_Ki,CHEMBL235_EC50,0
full_mmp_series_manifest,CHEMBL204_Ki,CHEMBL236_Ki,0
full_mmp_series_manifest,CHEMBL204_Ki,CHEMBL237_Ki,0
full_mmp_series_manifest,CHEMBL204_Ki,CHEMBL244_Ki,1068
full_mmp_series_manifest,CHEMBL204_Ki,CHEMBL264_Ki,0
full_mmp_series_manifest,CHEMBL204_Ki,CHEMBL4792_Ki,0
full_mmp_series_manifest,CHEMBL214_Ki,CHEMBL228_Ki,395
full_mmp_series_manifest,CHEMBL214_Ki,CHEMBL233_Ki,24
full_mmp_series_manifest,CHEMBL214_Ki,CHEMBL234_Ki,384
full_mmp_series_manifest,CHEMBL214_Ki,CHEMBL235_EC50,0
full_mmp_series_manifest,CHEMBL214_Ki,CHEMBL236_Ki,9
full_mmp_series_manifest,CHEMBL214_Ki,CHEMBL237_Ki,25
full_mmp_series_manifest,CHEMBL214_Ki,CHEMBL244_Ki,0
