dataset,n_test_cliff_pairs,n_noncliff_candidates_after_cliff_molecule_exclusion,n_disjoint_control_pool,n_matched_controls,max_absolute_smd,minimum_20_controls,balance_gate_0_25
CHEMBL204_Ki,40,208,83,40,0.2099974760070431,True,True
CHEMBL214_Ki,31,257,109,31,0.09851507888896247,True,True
CHEMBL228_Ki,34,298,72,34,0.14340781823805443,True,True
CHEMBL233_Ki,52,300,89,52,0.11480182429955937,True,True
CHEMBL234_Ki,35,110,55,35,0.11025664596213418,True,True
CHEMBL235_EC50,29,152,57,29,0.26778693380024077,True,False
CHEMBL236_Ki,32,309,95,32,0.08776794875478378,True,True
CHEMBL237_Ki,43,364,137,43,0.10389965882079785,True,True
CHEMBL244_Ki,109,262,100,100,0.26545512142054933,True,False
CHEMBL264_Ki,27,278,108,27,0.06718868021901553,True,True
CHEMBL4792_Ki,44,190,69,44,0.05996848995574365,True,True
