surface,method,target,contrast,metric,difference
V8_fresh_attribution_matched_A5_exact_tie,gradinput,observed_class,positive_label_minus_negative_label,risk,-0.06308191013922035
V8_fresh_attribution_matched_A5_exact_tie,gradinput,observed_class,positive_label_minus_negative_label,retained_fraction,-0.0005670599636878881
V8_fresh_attribution_matched_A5_exact_tie,gradinput,observed_class,positive_label_minus_negative_label,oracle_excess,0.010366416141446677
V8_fresh_attribution_matched_A5_exact_tie,gradinput,observed_class,positive_label_minus_negative_label,selected_minus_random,-0.5534100797003829
V8_fresh_attribution_matched_A5_exact_tie,gradinput,positive_class,positive_label_minus_negative_label,risk,0.018880295771241715
V8_fresh_attribution_matched_A5_exact_tie,gradinput,positive_class,positive_label_minus_negative_label,retained_fraction,-0.007681360280565985
V8_fresh_attribution_matched_A5_exact_tie,gradinput,positive_class,positive_label_minus_negative_label,oracle_excess,0.006563900145390766
V8_fresh_attribution_matched_A5_exact_tie,gradinput,positive_class,positive_label_minus_negative_label,selected_minus_random,-0.41873594550845483
V8_fresh_attribution_matched_A5_exact_tie,ig20,observed_class,positive_label_minus_negative_label,risk,-0.1258276644573371
V8_fresh_attribution_matched_A5_exact_tie,ig20,observed_class,positive_label_minus_negative_label,retained_fraction,-0.0016693053727455665
V8_fresh_attribution_matched_A5_exact_tie,ig20,observed_class,positive_label_minus_negative_label,oracle_excess,-0.0010017204524825907
V8_fresh_attribution_matched_A5_exact_tie,ig20,observed_class,positive_label_minus_negative_label,selected_minus_random,0.17103563482869089
V8_fresh_attribution_matched_A5_exact_tie,ig20,positive_class,positive_label_minus_negative_label,risk,0.09240763824468869
V8_fresh_attribution_matched_A5_exact_tie,ig20,positive_class,positive_label_minus_negative_label,retained_fraction,-0.014536379393793486
V8_fresh_attribution_matched_A5_exact_tie,ig20,positive_class,positive_label_minus_negative_label,oracle_excess,-0.002721112850808567
V8_fresh_attribution_matched_A5_exact_tie,ig20,positive_class,positive_label_minus_negative_label,selected_minus_random,-0.6567217216843714
V8_fresh_attribution_matched_A5_exact_tie,gradinput,positive_class_minus_observed_class,all_nonempty_reference,risk,-0.0007379945500145257
V8_fresh_attribution_matched_A5_exact_tie,gradinput,positive_class_minus_observed_class,all_nonempty_reference,retained_fraction,-0.09773523283969332
V8_fresh_attribution_matched_A5_exact_tie,gradinput,positive_class_minus_observed_class,all_nonempty_reference,oracle_excess,-0.09965010909202507
V8_fresh_attribution_matched_A5_exact_tie,gradinput,positive_class_minus_observed_class,all_nonempty_reference,selected_minus_random,-0.6181377534866327
V8_fresh_attribution_matched_A5_exact_tie,gradinput,positive_class_minus_observed_class,negative_label,risk,-0.02450703426404857
V8_fresh_attribution_matched_A5_exact_tie,gradinput,positive_class_minus_observed_class,negative_label,retained_fraction,-0.09567208574779873
V8_fresh_attribution_matched_A5_exact_tie,gradinput,positive_class_minus_observed_class,negative_label,oracle_excess,-0.09854737945316891
V8_fresh_attribution_matched_A5_exact_tie,gradinput,positive_class_minus_observed_class,negative_label,selected_minus_random,-0.657193252402292
V8_fresh_attribution_matched_A5_exact_tie,gradinput,positive_class_minus_observed_class,positive_label,risk,0.0574551716464135
V8_fresh_attribution_matched_A5_exact_tie,gradinput,positive_class_minus_observed_class,positive_label,retained_fraction,-0.10278638606467683
V8_fresh_attribution_matched_A5_exact_tie,gradinput,positive_class_minus_observed_class,positive_label,oracle_excess,-0.10234989544922482
V8_fresh_attribution_matched_A5_exact_tie,gradinput,positive_class_minus_observed_class,positive_label,selected_minus_random,-0.5225191182103639
V8_fresh_attribution_matched_A5_exact_tie,ig20,positive_class_minus_observed_class,all_nonempty_reference,risk,-0.0026413522255043925
V8_fresh_attribution_matched_A5_exact_tie,ig20,positive_class_minus_observed_class,all_nonempty_reference,retained_fraction,-0.21887915541558156
V8_fresh_attribution_matched_A5_exact_tie,ig20,positive_class_minus_observed_class,all_nonempty_reference,oracle_excess,-0.23277341399338392
V8_fresh_attribution_matched_A5_exact_tie,ig20,positive_class_minus_observed_class,all_nonempty_reference,selected_minus_random,-0.4998544893264768
V8_fresh_attribution_matched_A5_exact_tie,ig20,positive_class_minus_observed_class,negative_label,risk,-0.06592959000909186
V8_fresh_attribution_matched_A5_exact_tie,ig20,positive_class_minus_observed_class,negative_label,retained_fraction,-0.21514770394947724
V8_fresh_attribution_matched_A5_exact_tie,ig20,positive_class_minus_observed_class,negative_label,oracle_excess,-0.2322747901978694
V8_fresh_attribution_matched_A5_exact_tie,ig20,positive_class_minus_observed_class,negative_label,selected_minus_random,-0.2598048559376888
V8_fresh_attribution_matched_A5_exact_tie,ig20,positive_class_minus_observed_class,positive_label,risk,0.15230571269293391
V8_fresh_attribution_matched_A5_exact_tie,ig20,positive_class_minus_observed_class,positive_label,retained_fraction,-0.22801477797052516
V8_fresh_attribution_matched_A5_exact_tie,ig20,positive_class_minus_observed_class,positive_label,oracle_excess,-0.23399418259619537
V8_fresh_attribution_matched_A5_exact_tie,ig20,positive_class_minus_observed_class,positive_label,selected_minus_random,-1.0875622124507511
full_test_historical_index_tiebreak,ig20,observed_class,positive_label_minus_negative_label,risk,-0.07230896758595762
full_test_historical_index_tiebreak,ig20,observed_class,positive_label_minus_negative_label,retained_fraction,-0.006282999740939377
full_test_historical_index_tiebreak,ig20,observed_class,positive_label_minus_negative_label,oracle_excess,0.001081266605033493
full_test_historical_index_tiebreak,ig20,observed_class,positive_label_minus_negative_label,selected_minus_random,2.376302094961008
