panel,family,method,reference,tasks,bootstrap_replicates,smaller_tasks,larger_tasks,equal_size_tasks,delta_risk,delta_risk_ci_low,delta_risk_ci_high,delta_mean_atom_fraction,delta_mean_atom_fraction_ci_low,delta_mean_atom_fraction_ci_high,delta_precision,delta_precision_ci_low,delta_precision_ci_high,delta_iou,delta_iou_ci_low,delta_iou_ci_high,delta_random_atom_fraction,delta_random_atom_fraction_ci_low,delta_random_atom_fraction_ci_high,delta_saving_vs_random,delta_saving_vs_random_ci_low,delta_saving_vs_random_ci_high
eleven_tasks,all,atom_occlusion,ig,11,5000,7,1,3,0.0002722368368817283,-0.0025446218602873214,0.0026454160008659655,-0.0989247370217989,-0.14672653301205182,-0.05290647496129029,0.07196950861584511,0.03312805129834656,0.11533920527837244,0.06317178519494636,0.03023412853447438,0.1003092298181395,0.0,0.0,0.0,0.09892473702179892,0.05290647496129032,0.14672653301205182
eleven_tasks,all,saliency,ig,11,5000,5,6,0,0.0006622781683616658,-0.009913647690205456,0.012902317832204352,0.009448470643420642,-0.05258890944556114,0.07842260217223264,-0.08595271465753762,-0.19881063012043232,0.01703848178302645,-0.07344590180574401,-0.17079624427095397,0.014357583279449207,0.0,0.0,0.0,-0.009448470643420649,-0.07842260217223271,0.05258890944556119
eleven_tasks,all,gradinput,ig,11,5000,1,8,2,-0.002680024121720563,-0.005600115345452163,-0.00043619118782488954,0.0592709539559989,0.022765707304686876,0.10083547715791702,-0.02473839644610692,-0.041131474125729706,-0.010656119562526914,-0.021440475356541137,-0.03639168087221179,-0.008780952663012955,0.0,0.0,0.0,-0.05927095395599882,-0.10083547715791695,-0.022765707304686855
eleven_tasks,bxaic,atom_occlusion,ig,7,5000,3,1,3,-0.0016713120588068148,-0.005115870338982085,0.0008831299376018953,-0.06613311942800781,-0.13026824450770882,-0.01642279756070291,0.04497476325330703,0.006126801873763894,0.10449560903927702,0.04029349245684297,0.0063219024055779505,0.09140800829368574,0.0,0.0,0.0,0.06613311942800783,0.0164227975607029,0.13026824450770877
eleven_tasks,bxaic,saliency,ig,7,5000,3,4,0,0.004777251152021358,-0.006280251411443104,0.02078590146116674,0.0006911041362597277,-0.05421730827045223,0.06574081429558573,-0.14169462400560784,-0.2990959979162595,-0.008268328171639017,-0.12035980925094084,-0.2531170797902898,-0.004251707376528852,0.0,0.0,0.0,-0.0006911041362597277,-0.06574081429558574,0.05421730827045231
eleven_tasks,bxaic,gradinput,ig,7,5000,1,4,2,-0.0010849015584136598,-0.0019327325797442317,-0.0002823832389101666,0.04108738017642328,0.0005684412232307486,0.09712318927015202,-0.018397616785791382,-0.04282044512010507,-0.002037667635567297,-0.015447572282074915,-0.03744773133176515,-0.001279986955575411,0.0,0.0,0.0,-0.04108738017642322,-0.09712318927015196,-0.0005684412232306817
eleven_tasks,google,atom_occlusion,ig,4,5000,4,0,0,0.0036734474043366785,0.001512863218552797,0.00583403159012056,-0.15631006781093326,-0.1658754413571361,-0.14117711982126724,0.11921031300028678,0.08262912833493913,0.14700377175314072,0.1032087974866273,0.07393735397907379,0.12093664429716558,0.0,0.0,0.0,0.15631006781093332,0.14117711982126732,0.1658754413571361
eleven_tasks,google,saliency,ig,4,5000,2,2,0,-0.006538924553042795,-0.023190395133115764,0.009792031693720355,0.024773862030952234,-0.10753180407124144,0.16858992997746158,0.011595626701585295,-0.051145975682121106,0.07902689783119693,0.00865343622335047,-0.04482401877055038,0.06565646830581745,0.0,0.0,0.0,-0.024773862030952255,-0.16858992997746158,0.10753180407124141
eleven_tasks,google,gradinput,ig,4,5000,0,4,0,-0.005471488607507643,-0.011668848317547022,0.000725871102531736,0.09109220807025623,0.054133031961828226,0.14652894879285214,-0.035834760851659105,-0.04656334452946172,-0.02370607038363068,-0.031928055736857024,-0.04349591237116548,-0.020300911523378,0.0,0.0,0.0,-0.09109220807025616,-0.14652894879285203,-0.05413303196182817
eight_tasks,all,atom_occlusion,ig,8,5000,7,1,0,0.0003730952388689285,-0.0037062413709268265,0.0035754212534672594,-0.13602151340497348,-0.1739749718160178,-0.09040702943681812,0.09897283928890849,0.055938436384221815,0.14409972045830408,0.0868624350548947,0.050601145437331414,0.12515470065735887,0.0,0.0,0.0,0.1360215134049735,0.0904070294368181,0.17397497181601784
